"Gene","log2FC","MYB3|ABA","MYB3|EtOH","ABF1|ABA","ABF1|EtOH","FBH3|ABA","FBH3|EtOH","NFYC2|ABA","NFYC2|EtOH","ANAC032|ABA","ANAC032|EtOH","HB6|ABA","HB6|EtOH","GBF3|ABA","GBF3|EtOH","HB7|ABA","HB7|EtOH","ABF4|ABA","ABF4|EtOH","GBF2|ABA","GBF2|EtOH","RD26|ABA","RD26|EtOH","ABF3|ABA","ABF3|EtOH","HAT22|ABA","HAT22|EtOH","ZAT6|ABA","ZAT6|EtOH","AT5G04760|ABA","AT5G04760|EtOH","DREB2A|ABA","DREB2A|EtOH","HSFA6A|ABA","HSFA6A|EtOH","NFYB2|ABA","NFYB2|EtOH","ANAC102|ABA","ANAC102|EtOH","HB5|ABA","HB5|EtOH","MYB44|ABA","MYB44|EtOH"
"AT1G01030",-1.0675403657459,0,0,1.36129194289613,0,0,0,1.54122227948917,0,0,0,0,0,2.72611713904667,2.40297552698849,0,0,1.06351220204515,0,1.52890503770585,1.55302027725642,1.03927044565004,1.88219109711967,1.03062955546564,0,0,0,1.27920968835317,0,0,0,0,0,0,0,2.78610504675186,1.72521248280403,0,0,0,1.89873375546174,0,0
"AT1G01120",1.07429097367996,1.00559240853066,0,1.65268006920474,0,0,0,1.33641785169672,1.33187151378562,1.42318504086076,0,1.35820143459505,1.39498821806496,2.60547462434747,2.57498426237,1.28405274209394,1.2004868316355,1.45999387176114,1.48033997886065,2.07297307757662,1.99736886650961,0.981418304325448,0,1.1578871048254,1.46096752552418,1.06302646783432,1.42049763654476,1.17135676587106,0,1.16272589089378,1.20522311318298,0,0,0,0,4.44154255447871,1.80865026629141,1.34988160418575,1.22564684007885,1.30983548299745,1.3075092964548,1.2132262592183,0
"AT1G01240",1.17301082781979,2.02636278867315,0,3.73630196347184,3.13924925838905,2.05217564169124,0,4.21527735444388,4.31992235844132,2.67357068976539,0,3.02169783117377,3.00125179632654,4.08789602120114,4.14795697528629,3.09771936795469,2.37374937260709,2.82518353266803,2.49407258233122,3.10464480694505,3.2600818118888,2.48714977335373,2.28319502687922,2.85742956859538,2.83334120079598,2.57403555948604,2.20837930760002,2.47024909635214,0,2.63415545325838,2.80773302102016,0,0,0,0,10.7443188380307,7.97687342795835,2.49247629344995,0,2.87094301103069,2.897373986081,2.19801050666586,0
"AT1G01250",2.47848030017934,0,0,1.98036804842768,0,0,0,1.17974527552387,0.969182977757734,0.882392721689026,0,0,0,4.18670789865599,4.06289527770239,0,0,2.08165672906563,1.9939411644823,2.93633808216966,2.77025009688754,0.816974256636761,1.07603474611181,1.8688593765548,1.09555260878349,0,0,1.32862103771096,1.10159598732432,1.21151849450357,1.11200432035308,1.27456726466193,0,0,0,3.99517207458824,1.8919637324645,0,0,1.48630535662968,1.54684798555599,2.1901121455138,1.31291193900992
"AT1G01340",-0.762195094279358,1.93477785356038,0.942808796003218,0,0,0,0,0,0,0,0,2.5856276312109,2.48270879794686,0,0,2.36384783972599,0,0,0,0,0,2.24959153894455,2.06627903486831,0,0,0,0,2.19663263692523,0,1.88036888321379,0,3.14839750402825,0,0,0,5.92655453456498,3.29957714684793,0,0,2.03087724913803,2.03223161871048,2.06815769822593,0
"AT1G01470",2.07938224319399,1.80104096797572,0,3.57649066232643,2.73807687026344,0,0,3.43263378577934,3.42457683824347,3.1996739444226,2.66247409605174,2.15641168605819,2.03723173469332,3.75166804443654,3.75427249589745,2.32885656772764,0,2.40867366134828,2.48240856934874,2.93431497041208,2.7216711300493,2.42445491241135,2.82933272521449,2.54795070979359,2.52589704164077,2.00355925589038,1.87852005623365,2.82580794783865,2.4888804771969,1.99882183407344,1.62379203793311,2.98502081713831,0,1.8196755393881,0,7.03205403467693,6.19379239119062,3.73980073823175,3.66583182028164,1.96919877634079,1.91216068686416,2.38037212710319,1.8645037881721
"AT1G01480",1.40203130255579,1.49307914701388,0,2.73038238615243,1.81533056088884,0,0,2.5431576586629,1.89593237687656,2.15118943940702,1.59029966729767,1.93271001099006,1.67243852023646,2.18001416097163,2.99860975432165,2.30952274134602,0.965596927700903,2.03909161973306,2.0404514673784,2.19306063032749,2.10128248078112,2.09122129983745,1.59035948335167,2.12393592787739,2.10859303453826,1.94284439289258,1.32595723317552,1.77551056630826,1.53859285404261,1.92884845381245,1.78343484600596,1.16060341367187,0,1.01544290487663,0,7.19942860719379,4.58681877216214,2.19763407132136,2.1765083958317,1.68639351663377,1.41049025809022,2.0411720599948,1.4037736378136
"AT1G01500",0.505374812522142,0,0,2.03260254737879,1.41607076514275,1.2468983929663,1.45270406554203,1.87619825480458,1.93541478562918,1.14977722991744,1.61349648113267,2.47072454338431,1.31199992856274,3.22123908550434,2.85369897145637,1.48386820123024,1.3071980709435,1.78456352683738,1.84566954675847,1.96971971770755,1.61736989031463,1.33058152894043,2.01056562646247,1.84525015940675,1.82452861953936,0.990812375260574,1.27186221464988,2.10433496545378,1.89570184200276,1.71419849582238,1.80197123599547,0,0,1.20773828194083,0,5.61634675068084,3.11991481927093,1.2529293162404,2.2396197400451,2.09350674681803,1.22706697366419,2.91346830322926,2.44532517915808
"AT1G01520",3.59648237716966,0,0,3.39067652737546,2.53856995256325,0,0,4.44318058978955,4.54656394725366,0,0,0,0,4.21723572342887,4.01287996152488,0,0,2.55971864049758,2.64888126180978,3.2010789578141,3.27253723141035,0,0,2.88660647661289,2.88544046244864,0,0,1.7305453246358,0,1.75143696769064,0,0,0,0,0,9.98975324500227,7.36394750581701,0,0,0,0,1.74366959077369,0
"AT1G01570",1.62542815124519,1.75030252843856,0,1.54141272903536,1.02835187419785,0,0,1.90427098276851,1.77087195877903,1.22292743890708,0,1.17646927903745,1.23398686718004,1.93288836843617,1.8033724934714,1.22155376644087,0,1.28492412668001,1.7548464488483,1.62667389363792,1.98520862551491,1.4749431064966,1.53798302970157,1.36503047682144,1.7613147174065,1.36818102304684,1.32714896305138,1.57556059126183,0,1.64697017892027,1.60914982867464,0,0,0,0,3.02852536942119,3.11432359361299,0,0,1.04909220845582,1.1452412363212,1.14068001284674,0.842722076344693
"AT1G01610",0.865281316187307,1.70175235867325,0,1.48008700543165,1.32843503694772,0,0,0,0,0,0,1.03154931589328,0,1.53468607521454,1.46875644749411,1.68332315610928,0,0,0,0,0,0,0,0,0,1.49822343718365,0,1.80886798514306,0,0,0,0,0,0,0,2.55522604790733,1.47140611473439,0,1.3824290176621,0,0,1.75266000846834,1.13270105829188
"AT1G01650",0.838270962048023,2.36288851416753,2.02949835426123,3.14194935941986,1.69721441833353,0,0,2.40836809020019,1.94006991217883,2.77575643854022,0,2.21108702850264,2.13864801897493,2.57529789200794,2.26595193811728,2.53430247066021,0,2.52735756892578,2.06360677412131,2.20681834994933,2.13722272877846,2.59654224340022,2.95963195542731,2.70009264085065,2.53241734215027,2.57174615604573,2.41474148265907,2.96503686744583,2.67991281167342,2.43758369202817,2.21556793855661,0,0,1.01694324112229,0,7.38545997923432,4.05699141276665,2.99888333128481,2.8524295103347,1.91752164580294,2.15360360096293,2.70965073862554,2.4181608175783
"AT1G01720",1.14745165954264,2.34,0,3.77475092376913,2.90225033747576,0,0,5.07438848374407,4.21755426615417,1.20870387436594,0,2.35867610147946,1.92824669127455,4.4594054418244,4.44400887165831,2.75356750749304,0,2.95336625152536,3.03034829451228,3.421330351417,3.38121485525042,2.50200737371916,2.16728637347943,3.02175490677872,3.03119235775493,2.20004071248259,0,1.29754302534952,2.37500142931938,2.7145456384667,2.54405693627074,0,0,2.86454516344972,0,11.1310196901776,8.15036911466913,0,0,2.18781109463509,2.08952620630463,2.56997802013969,2.19358004802286
