"PlantID","Genotype","Treatment","FW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1130KN017","Apex","stress",56.7,88412.68598,12706.3615,0.006902291,1419.571429,0.397071209,8826352.589,514.8056236,720.4848807,0.328666916,1239.428571,610.4672584,17.14285714,254.7321682,4258.644559,38.09182553,0.560194212,0.764800733,0.1991817,635.6092376,1.108523106,1.105726159,197811,21881,0.005192715,1574.625,0.466147058,23954139,1277.761719,0.218174057,1155.263684,36,247,0.621542172,1409639,0.238392155,41812982.91
"1130KN131","Bavaria","control",138.2,190459.5233,20314.50574,0.00656162,2196.285714,0.437791545,13862566.86,860.7341223,973.072876,0.399882269,1078.428571,792.7033497,24.71428571,310.2928895,7665.783406,41.78601815,0.585433529,0.83659075,0.207685599,697.8143287,1.006560983,1.0040213,441865,34283,0.004725976,2659,0.602019713,55363011,1813.189331,0.315524214,1218.892125,36,411,0.623689779,2605726,0.233291534,134619547
"1130KN027","Isaria","control",125.1,185177.7362,21190.00256,0.00664364,2485.285714,0.416612739,13470872.86,674.4012678,863.1489345,0.470412725,1078.428571,724.7846384,21.14285714,334.7917544,7110.150841,44.07905241,0.565383869,0.75875596,0.186900501,697.9607984,1.020668892,1.018093613,319540,31240,0.004114725,3054,0.564536192,38881340,1708.217407,0.277553389,1029.081882,23,537,0.606582056,1802313,0.217096654,111304585.8
"1130KN028","Isaria","stress",69.3,117878.3887,14512.80006,0.008617644,1835.285714,0.355472292,9035524.429,545.0067901,721.1292986,0.440520488,1168,649.5162253,16.28571429,304.380435,4987.148326,42.17347127,0.567201345,0.782106049,0.191789917,589.4872925,1.071432173,1.068728812,241696,22558,0.005969772,2105,0.545234266,33026540,1413.158569,0.29967001,847.902605,24,409,0.616733847,1422953,0.227401427,61620808.44
"1130KN029","Isaria","stress",74.8,124654.9623,13854.13313,0.009608755,1570.428571,0.365569724,9791703.429,604.8549229,736.0379639,0.448667745,1114.142857,585.37575,17.71428571,283.2123022,5003.076235,42.02206099,0.566103816,0.759735194,0.196738815,571.3421147,1.089079673,1.086331784,247813,22118,0.006365943,1974,0.555698664,34641196,1390.539551,0.288643331,1010.413471,23,430,0.617171149,1447254,0.228595677,65982058.45
"1130KN030","Isaria","stress",74.2,130233.8773,15162.04828,0.00729929,1767.857143,0.373950308,10718920.71,560.7998022,756.1869594,0.431019633,1163.142857,688.181403,15.85714286,352.7594306,5396.276226,41.45597925,0.561087165,0.743099644,0.19327304,649.6087263,1.075119382,1.072406717,249761,24762,0.00512077,2454,0.552321478,34840183,1434.011475,0.254928008,1120.336005,25,404,0.610540605,1538196,0.222634215,69207038.15
"1130KN031","Isaria","stress",70.5,128265.6511,14679.15354,0.008354643,1691.571429,0.383385998,10757508.86,716.9320747,820.4627773,0.390431462,1103.428571,662.1205191,18.28571429,306.0238605,5512.036045,41.00214678,0.547995006,0.719969076,0.194906816,607.630483,1.024837556,1.022251759,223389,21598,0.006018377,2088,0.566334888,31831111,1433.40564,0.224003778,1003.102992,21,464,0.604104555,1386574,0.225967715,64461608.66
"1130KN032","Isaria","stress",72.3,126366.0027,13772.19238,0.009693853,1525.571429,0.397017983,11261975.86,551.5176202,725.4051862,0.455087142,1217.285714,617.394392,17.42857143,278.7489545,4765.09685,44.74875542,0.558911652,0.773899809,0.195105729,618.5753827,1.0332945,1.030687365,238551,20587,0.007075659,1776,0.562044175,34220108,1451.152954,0.248588377,982.0734846,22,411,0.590994031,1408324,0.22458092,65627243.77
"1130KN033","Isaria","stress",69.2,122973.3535,14267.46855,0.008034462,1663,0.374906785,10299498.71,506.3557355,746.2738822,0.428521284,1145.285714,607.2764144,18.14285714,305.1689936,5227.514594,40.90779985,0.551378625,0.719516171,0.188360622,696.0146099,0.995363266,0.992851836,246423,24191,0.005293332,2374,0.552111597,34582784,1557.686279,0.22230211,1152.498336,25,424,0.61492861,1499857,0.223154578,64910870
"1130KN034","Isaria","stress",70.6,125225.9125,14268.99392,0.008596639,1642.714286,0.388076047,10678677.43,522.8397153,796.8629674,0.42639711,1187,673.8747064,16.14285714,320.8503151,5031.229982,42.21168247,0.554780356,0.739206397,0.197443449,662.6363481,1.155086482,1.15217205,237546,22764,0.005761747,2181,0.560144603,33784634,1491.833008,0.214654106,1037.909629,23,425,0.592751104,1391501,0.226300913,64896611.46
"1130KN035","Isaria","stress",69.8,126668.7661,14079.04561,0.00948645,1598.285714,0.395824842,11284356.43,683.5449289,785.200143,0.475694148,1094.285714,589.3588871,15,359.8938464,5158.513332,42.38996319,0.559332862,0.76562817,0.193823638,575.917043,0.981512404,0.979035921,213079,17001,0.009267235,1356,0.56993434,30861304,1316.944214,0.308767186,799.2866312,20,382,0.599413517,1333773,0.229547821,62171969.12
"1130KN036","Isaria","stress",69.8,126915.9912,14098.1574,0.008734346,1574.714286,0.393988116,11259557,528.1060789,696.7177211,0.495231206,1172.142857,628.4473888,15,333.6292147,4966.045816,42.96634696,0.55204712,0.729186986,0.192248148,562.3344027,1.058573732,1.055902814,231085,20856,0.006677136,1882,0.574091157,33634520,1401.356445,0.27310331,880.4981703,22,417,0.593964243,1366783,0.226325114,64872358.33
"1130KN037","Perun","control",124,196385.3692,22631.50172,0.004859936,2612.285714,0.402204533,17383067.14,939.5613634,1066.1137,0.371151352,863.8571429,775.4762414,27.28571429,322.8467296,8626.104075,40.29843824,0.564509408,0.767609499,0.21908366,685.0756719,1.022270733,1.019691412,464190,37537,0.004140485,3035,0.576209252,65800649,1615.118164,0.324320585,1295.83224,40,426,0.624295715,2571961,0.242912366,142273930.4
"1130KN038","Perun","control",130.7,199700.19,22534.65917,0.005017324,2547.571429,0.401316012,17659551,993.1753571,1068.334333,0.366713148,955.5714286,735.2177906,28.85714286,312.0416737,8560.888932,41.37524455,0.565039666,0.750459078,0.219120822,689.0803853,1.028983549,1.026387291,436658,32678,0.00513962,2445,0.577746159,62434796,1631.802612,0.306711101,1434.31104,32,449,0.615553283,2573459,0.24478483,140317322.5
"1130KN039","Perun","control",119.3,181455.2376,20406.91913,0.005703648,2312,0.414097242,16831984.86,943.857029,1029.116952,0.379374386,925.7142857,685.6875364,23.42857143,325.0315153,7589.261105,41.84969724,0.565902584,0.742555266,0.220496567,633.2589422,1.07178747,1.069083212,417792,30952,0.005480319,2293,0.559207377,57363855,1633.067749,0.324292605,1276.292709,28,520,0.620575735,2296003,0.247160209,124712149.7
"1130KN041","Perun","control",116.2,189411.4133,22520.86191,0.004909071,2691,0.40581989,17010151.43,957.9880248,1058.59804,0.388520438,1029,748.0678591,25.14285714,327.5798589,8032.390319,42.13293909,0.562913552,0.762664533,0.219097967,634.5056298,1.020648157,1.018072931,408956,31386,0.005218592,2408,0.592406595,60168375,1514.84082,0.353554688,1091.918383,37,384,0.619229096,2447503,0.246303159,128799655.4
"1130KN042","Perun","control",124.7,205939.0798,23783.00874,0.004762647,2756.714286,0.405445234,18490718.57,1002.733178,1134.301531,0.376150305,905.2857143,747.3642159,25.57142857,355.5529081,8861.402234,40.95222898,0.558154425,0.747667602,0.218230583,666.3612144,1.05120148,1.048549163,440150,31126,0.005709391,2201,0.576016919,62362695,1589.293579,0.335361579,1081.416717,30,472,0.619467995,2445130,0.244384968,145278519.2
"1130KN043","Perun","control",113.5,196121.7618,19935.68901,0.006693127,2043.714286,0.431347567,18883086.86,830.2555635,952.3766044,0.447837724,906.8571429,752.917074,17.42857143,455.6994727,7426.035981,44.03827515,0.563959438,0.772137962,0.220805142,639.2191958,1.024817476,1.02223173,464252,29468,0.006719984,1870,0.620016166,71995572,1590.583008,0.38731514,1093.26087,33,431,0.629465911,2673839,0.243915134,142089341.2
"1130KN044","Perun","control",121.6,189277.6833,21184.26546,0.005778527,2395.428571,0.41533308,17491238.86,972.8085856,1076.631818,0.384040081,911.8571429,718.9994025,21.57142857,384.6123255,8081.649498,41.5603211,0.567450641,0.740147046,0.220779188,639.4950685,1.02871165,1.026116078,428631,30092,0.005949986,2112,0.596503643,63413537,1686.134644,0.352659938,1093.8251,20,650,0.608940666,2387428,0.245305608,131765315.6
"1130KN045","Perun","control",113.6,180000.1785,21667.81377,0.004973692,2618.428571,0.39389453,15169013.14,941.6396435,1052.609549,0.331923241,817.5714286,837.1287089,26,312.4350623,8051.479894,40.51254989,0.559442431,0.735791708,0.219350369,711.9490652,1.043388636,1.040756032,398614,33509,0.00446249,2816,0.583833178,57176848,1601.437134,0.287768465,1331.010331,40,371,0.63149121,2304343,0.244091798,120846143
"1130KN046","Perun","stress",56.9,107080.6666,13223.31566,0.007873605,1637.285714,0.401952516,9364378.857,741.0371554,839.1629987,0.328830719,1012.857143,682.5664568,23.71428571,206.7879215,4761.851137,40.56915517,0.559196032,0.779085046,0.219522452,591.1436978,1.093786064,1.091026301,199801,19908,0.00633705,1983,0.609021525,30592122,1292.00293,0.230908403,1041.529195,29,331,0.591056136,1293021,0.264529429,50896061.36
"1130KN047","Perun","stress",60.4,111458.5023,13877.92352,0.007400151,1730.428571,0.404369238,10133605.14,713.8846163,825.2993513,0.347141445,1130.428571,655.3890933,23.14285714,227.0285852,5194.401568,38.95493255,0.562156761,0.764701999,0.215886195,561.6365382,0.977941058,0.975473587,198065,19810,0.006343448,1981,0.577208354,28902353,1239.720947,0.218996342,1099.352264,29,321,0.603007299,1342846,0.264327796,52744183.36
"1130KN048","Perun","stress",63.8,118636.6581,14210.75006,0.007508816,1704.714286,0.407027796,10574212.71,758.2154928,847.2787824,0.335252536,898.1428571,661.0498866,21.71428571,253.7537771,5492.065198,39.30018925,0.561631318,0.763743441,0.219837983,601.9520638,1.017928595,1.01536023,243512,19343,0.005229451,1871.875,0.599006129,36464278,1395.382568,0.231684286,1056.456029,35,319,0.612113191,1519369,0.263371533,62250735.61
"1130KN049","Perun","stress",60,111077.8493,13527.18315,0.00768504,1649.142857,0.407909161,10028199.29,770.9613971,848.8042515,0.343748681,947.2857143,608.8130442,23.14285714,212.4695847,4889.859822,41.08114665,0.557774669,0.758349985,0.220156074,515.7790101,1.003886134,1.0013532,204800,19068,0.007079645,1775,0.594323836,30966436,1217.75354,0.256115732,1068.84823,35,250,0.599974488,1316968,0.261316282,53451648.13
"1130KN258","Victoriana","control",140.6,207529.7082,18766.55525,0.007547967,1706.142857,0.442420335,21187390.71,1060.645993,1174.773821,0.356623156,880.7142857,779.6703713,20.42857143,365.7963768,7422.320817,45.89478604,0.589006632,0.859450939,0.225000683,696.5692777,0.999458622,0.996936859,506096,28677,0.007737913,1624,0.607590872,77206844,1658.192627,0.326384469,1267.626925,34,446,0.638628736,2683122,0.24709517,156986794.3
"1130KN088","Trumpf","stress",82.9,124757.1065,13112.62652,0.010788542,1405.714286,0.402945962,11361162.71,648.0786847,744.6392299,0.43571879,1123.714286,621.7765882,16.71428571,281.5960261,4696.164673,44.42610618,0.582079784,0.825203611,0.206669837,565.3788218,1.078361603,1.075640757,260295,18495,0.009563448,1314,0.597863704,37645550,1581.014526,0.323744363,851.9405976,30,302,0.619858075,1629954,0.239062753,67679332.88
"1130KN089","Trumpf","stress",77.6,127749.3072,13773.19745,0.009089004,1502.571429,0.416744451,12124124.29,681.1893733,826.4956927,0.372950118,1080.142857,724.9625232,17.14285714,307.96342,5074.002177,43.37579456,0.571102519,0.804707027,0.206493586,591.8367695,1.000200522,0.997676887,274558,21161,0.00770943,1630,0.601907494,41805366,1515.495239,0.286263307,1107.773771,21,498,0.614954359,1774500,0.241872952,71177452.56
"1130KN090","Trumpf","stress",80,129134.529,13996.32027,0.008373487,1518.857143,0.41437086,12195605.43,761.2642371,872.8841553,0.3407138,1092,712.9798177,18.14285714,295.8167835,5248.695658,42.55319247,0.569119135,0.784125568,0.207416801,649.1938651,1.024005255,1.021421558,284901,21653,0.007639131,1645,0.59716317,43362007,1416.463135,0.257898627,1307.972384,23,424,0.62114481,1726472,0.24046993,73292120.51
"1130KN091","Franken","control",136.5,200778.3259,20225.11971,0.007354952,2081.714286,0.411899609,18401415.86,762.5112753,944.2842756,0.445670275,943.2857143,810.7129967,19.85714286,398.11344,7407.037468,45.76027017,0.575544189,0.817422445,0.214135111,675.3755894,1.02792163,1.025328051,456791,29500,0.00659652,1905,0.586940258,66526828,1789.780884,0.304310766,1195.913009,33,428,0.617088241,2506705,0.241031829,144289251.9
"1130KN092","Franken","control",143.5,217132.9688,23087.69386,0.005530355,2486.285714,0.427136874,21400862.86,800.6097661,1020.836888,0.405459337,1032.857143,876.3447715,21.42857143,402.9718625,8587.164173,43.25440288,0.564753624,0.772455395,0.209197727,767.4976748,1.061871523,1.059192284,495220,31333,0.006340248,1982,0.601681075,74945648,1765.477417,0.328195979,1233.118044,25,625,0.620675501,2729405,0.237249858,162473868.3
"1130KN093","Franken","control",101.4,179607.4954,18066.25081,0.007336714,1827.714286,0.405224646,16204433.43,681.6045851,849.696167,0.460047112,1071.285714,749.6118979,19.71428571,347.1032697,6795.239554,43.48672989,0.566379061,0.797545821,0.207502786,652.6598085,1.060017289,1.057342729,355213,21862,0.009343026,1345,0.592337467,52924320,1551.783447,0.335121305,976.8782722,23,451,0.607418939,2013284,0.239701082,113821300.5
