# Table S1: 3,061 DE genes from ABA treatment time course 
# log2(FC); FDR.01
# gene_id	1h	4h	8h	12h	24h	36h	60h
AT2G25450	-0.154826414407402	1.65495186088503	1.27545042035432	1.1112571711746	0.796820416823493	0.892401997401493	0.786093533987782
AT2G25620	0.546701326029104	1.10167404512035	0.784674143955335	0.746498785560154	0.662194951854427	0.866723930471956	0.663032700598663
AT2G25625	1.47389998567294	1.31627149534188	1.35988921464922	1.91014145229523	1.70404807596147	2.8905512460238	2.67798549351974
AT2G25680	-0.85748743236882	-1.24459870752833	-1.15679393014299	-1.53457421375332	-0.870992100640929	-1.23563705971842	-1.76069757531043
AT2G25710	-0.0774912854528616	0.806486790391065	0.351544950097598	0.442481424679987	0.320530877214716	0.355266770161046	0.162630560434257
AT2G25810	0.566249715150564	0.883237120998352	1.05855060157435	0.123406417444811	-1.74904634935672	-2.3010926027147	-1.32283769514241
AT2G25880	0.692051515065013	0.202442610476893	-0.103847610714306	-0.186895885374169	-0.875679719232416	-1.21447649015649	-1.61819470150015
AT2G25890	1.63893776554606	3.33656505549909	3.39989830787007	3.12546453522692	2.67206534733145	2.64665875514772	2.34451725539402
AT2G25900	-0.0459138941310299	-0.22483441591202	-0.287930718173956	-0.48398886522004	-0.490156623415301	-0.846870572251229	-0.920884965584124
AT2G25940	0.203116081208591	1.13576940147296	1.17861047985788	1.02561440742237	0.852597012362544	1.01148304378881	0.954224874694108
AT2G25980	-0.119513550536499	-0.992739255410121	-0.890444205323451	-1.43993503150242	-2.21292315547014	-2.56953764457113	-1.77612689049896
AT2G26290	0.366847168515799	1.73240860302591	0.189301933011151	0.394728041284473	-0.104581987737325	0.288774457700624	0.930510564024609
AT2G26355	-0.115628557947365	0.486835421311301	0.92300980159265	1.0590509226849	1.37896661763913	1.37339793881162	1.10885029849934
AT2G26370	-0.207674450332807	-0.877944317855504	-1.25832766205482	-1.76449783365576	-1.66178538045649	-1.32213450443309	-1.17374890874282
AT2G26690	0.104840401033644	0.916591956241567	0.662517583255723	0.668850575612668	0.358235511788017	0.471112876394165	0.5062457473348
AT2G26695	-0.335292728706819	-0.299280861207497	-0.351723440377471	0.288944183965516	0.505472096887073	0.236908068202348	1.13845495110115
AT2G26710	-0.108348900100561	-0.261961985620558	-0.393368422409299	-0.640874264027798	-0.708587938867384	-0.962212624924575	-0.60742406760731
AT2G26975	-0.307691359613077	-0.491727275725459	-0.447075391178753	-0.379495224026776	-0.456378283772514	-0.619023676338506	-0.843942042252396
AT2G27000	-0.44424391364354	-1.2365824360723	-1.54788527589621	-1.13631051009082	-1.24744276901208	-1.39959341545156	-1.11810061185316
AT2G27060	0.217617379860349	0.623248014003791	0.442450474280011	0.423583036850164	0.305659011626163	-0.0191548710910167	0.176342653314683
AT2G27080	-0.691657510565086	-0.615278502491901	-1.12656243100552	-0.954709175685233	-0.449175168721455	-0.122732622345293	-0.146883404446445
AT2G27120	0.0767750330985011	-0.979920970812235	-1.98975666381971	-1.35141189356363	-1.51316795497132	-1.24671829329606	0.0143412569749859
AT2G27150	0.344786616091941	1.20156737314649	1.197146542165	1.30988604676011	0.876461474706688	0.926809171848798	0.753682281483036
AT2G27370	0.162623107138375	0.45535951147693	0.0995496411657408	-0.213907946804382	-0.165975190020937	-1.05187615616342	-1.20506610095421
AT2G27402	0.229062963731245	-0.264727811658744	-1.40214402758808	-1.17016599262559	-0.888756698110785	-1.255040265581	-0.939555537638645
AT2G27550	0.18563330512736	1.86669875464892	1.53499036262778	0.789262603779331	1.00290787941198	0.339689474272846	0.407184061727012
AT2G27660	-1.3511248096176	-1.55238583895935	-1.761539201821	-1.78115199626988	-1.21388130296895	-2.39758504321048	-2.46560176338336
AT2G28160	-1.08121869482663	-1.58218004064267	-1.4615579276374	-1.73840030907114	-2.5254396368122	-3.35632219702356	-3.64710891970012
AT2G28400	1.03350352566842	1.42919832674679	1.26831739956943	1.34560296513386	1.06573821764179	0.786243874919594	1.06875113876246
AT2G28420	1.56434840719163	1.90199871279524	2.18099891009954	2.57213353934282	2.29528619151264	2.21666318927125	2.90925860717062
AT2G28470	0.422081084605966	1.50051566748007	1.43778886425607	1.31007318054536	0.882410276516335	0.93169802457134	1.31579210649285
AT2G28490	0.966841250062494	1.66962433466787	2.86398793354095	3.55187588090751	3.4683944979494	3.99556346042911	3.64835799836569
AT2G28630	-0.49434874647484	-1.33297302652892	-1.98003161068214	-1.8659589776562	-1.61874491889827	-1.45297592608259	-1.75442138597663
AT2G28670	0.0188018435930256	0.398696477971871	-0.0623667599211341	-0.192570005671476	-0.108841271025733	-0.995332101359575	-1.36310968807928
AT2G28780	-1.31151284266543	-3.32824613321316	-4.30348653527442	-4.71682119335739	-4.41359964520748	-5.90392226713499	-7.2753723493652
AT2G28860	-0.945857460775619	-4.95977151139643	-4.65012066191678	-5.24873365496656	-8.76795826814463	-9.70305863171206	-8.57815167616362
AT2G28960	-1.36121284459719	-2.59052193752869	-2.6306150366325	-3.67169410937717	-5.74975252416926	-6.00343272031801	-7.8541588365291
AT2G28970	-1.52292537724211	-2.34161831332026	-2.03285010144787	-2.40875425957137	-8.18863282350747	-8.9199082402609	-6.39530369439934
AT2G28990	-0.665413416041276	-0.667140363401498	-2.02660396521438	-2.2489085060708	-3.10870349667116	-4.28058804313008	-4.6982741195833
AT2G29080	0.216252060660684	0.847239102772646	0.695526002373008	0.653542130882488	0.592466875404033	0.540983517264082	0.428297856447558
AT2G29090	0.488021643042639	3.98995467040903	4.0766278626489	3.7634896028479	3.80539392120315	3.16753921082043	2.63736907879859
AT2G29220	0.0561712260883002	-0.851412592650963	2.69882129952528	1.34090403989458	-6.00895080514247	-3.7407527712046	-2.32907273900397
AT2G29300	1.07305163016684	1.51928286293369	3.41507706675748	2.96518906996817	3.1431524171337	4.3762731395243	3.89732042029872
AT2G29330	-1.46730793464371	-2.36534478400116	-0.71884152454894	-0.534205275171246	0.468170802074929	0.268092360078604	0.776076149886323
AT2G29340	-0.464730062549135	-0.743228101125965	-1.00026571406337	-1.32243769265383	-1.22758851059607	-0.297264313300775	0.552794031806642
AT2G29380	3.96590811524002	7.1321049222969	7.27688173214517	7.19182466938726	7.62808679946636	7.12691154015538	6.79577904152176
AT2G29450	0.0978295307249617	1.32736660851257	0.966178331406726	1.16065568656814	0.652222237973753	0.913179366043708	0.957840816338919
