"PlantID","Genotype","Treatment","FW","side.area.norm..mm.2.","side.border.length.norm..mm.","side.compactness.01..relative.","side.compactness.16..relative.","side.fluo.intensity.average..relative.","side.fluo.intensity.classic.sum","side.height.norm..mm.","side.hull.circumcircle.d..px.","side.hull.fillgrade..percent.","side.hull.pc1","side.hull.pc2","side.leaf.count..leafs.","side.leaf.length.average.norm","side.leaf.length.sum.norm..mm.","side.leaf.width.average.norm","side.nir.intensity.average..relative.","side.nir.skeleton.intensity.average..relative.","side.vis.hue.average","side.width.norm..mm.","side.width.norm.relative","side.width.relative","top.area..px.","top.border.length..px.","top.compactness.01..relative.","top.compactness.16..relative.","top.fluo.intensity.average..relative...pix.","top.fluo.intensity.classic.sum","top.hull.circumcircle.d..px.","top.hull.fillgrade..percent.","top.hull.pc2","top.leaf.count","top.leaf.length.average","top.nir.intensity.average..relative...pix.","top.nir.intensity.sum","top.vis.hue.average","volume.fluo.iap"
"1137KN092","Franken","control",107.5,120114.468,16123.63014,0.006455158,2191.666667,0.245694511,3320014.333,660.6592466,825.8505249,0.343851101,946,705.3486761,29,199.7045332,5745.077055,39.57289658,0.501422547,0.511635555,0.227711288,660.3310502,0.975250083,0.976922896,296701,24666,0.006129937,2050,0.524770385,36697985,1711.35144,0.25249172,1018.309368,28,371,0.614630166,1724978,0.25501366,67490839.77
"1137KN093","Franken","control",114.39,122179.0001,17145.30537,0.005580356,2418,0.241079328,3129913,643.5930365,812.477356,0.327088881,1099.666667,748.0194372,21.33333333,279.3512302,5984.660388,39.75865237,0.512591235,0.541398949,0.225595228,668.8641553,0.966470431,0.968128185,307293,28606,0.00472065,2662,0.525600584,37917496,1513.088501,0.288090203,1010.080977,33,355,0.628093803,1797840,0.254182859,69865521.47
"1137KN094","Franken","control",79.26,100962.6938,14500.371,0.006870699,2138.666667,0.241740986,2599600,576.9691781,760.7522583,0.330007036,1318.666667,660.9669232,23,220.3791551,5025.670662,40.15728159,0.504344762,0.506893411,0.224373172,627.8396119,0.983306012,0.984992643,258380,21307,0.007152175,1757,0.538041067,33409675,1435.790527,0.260098602,1020.389255,27,339,0.612561037,1569997,0.258529262,52939566.58
"1137KN095","Franken","control",114.19,128141.5521,19073.4589,0.004722846,2862.666667,0.238521649,3217350,599.614726,813.869161,0.357750753,1199,695.8486049,29,238.8053998,6762.813927,36.72614605,0.5113651,0.542792967,0.22386726,686.9149543,0.990492226,0.992191183,325635,32357,0.003908669,3215,0.520000169,39517160,1632.088745,0.247214955,1239.881185,27,463,0.643577592,1831329,0.253854396,75430245.96
"1137KN096","Franken","control",120.18,117746.832,14484.28938,0.00800578,1826.666667,0.241882986,3012773.667,654.423516,787.3819377,0.408328512,1365.666667,628.0036908,25.33333333,195.8986299,4817.265982,43.63126174,0.50862778,0.542707372,0.230860103,658.649044,0.812072783,0.813465704,262467,21893,0.006881912,1826,0.527079176,32864916,1365.969116,0.345124714,766.1522118,31,294,0.605913434,1598539,0.251086575,62226674.15
"1137KN097","Franken","control",98.15,117791.7483,16194.52055,0.00742443,2300.333333,0.238197892,2804179.333,621.6038813,806.450175,0.331264126,1187,729.3271994,27.66666667,202.6144735,5531.421233,40.55564046,0.500025052,0.478370714,0.231215887,677.7254566,1.046554382,1.048349501,277578,23748,0.006187282,2031,0.516128404,33538836,1540.167236,0.263179327,1023.212633,22,434,0.605719757,1635407,0.257693405,64017305.94
"1137KN098","Franken","control",108.65,117396.873,17536.18721,0.005128666,2643,0.232698513,2577454.333,596.0045662,777.5664063,0.370067506,957.6666667,687.3666846,27,233.0594657,5844.520548,38.93367355,0.510248232,0.528678333,0.227151495,620.9474886,0.962382737,0.964033479,280895,27375,0.0047118,2667,0.513104338,33527640,1403.605469,0.307364963,1044.035289,32,343,0.633826588,1606237,0.255311655,64182782.1
"1137KN099","Franken","control",111.86,128642.4169,19537.85674,0.004246988,2968,0.237501787,3067693.333,630.1369863,831.543925,0.355102943,1229,777.3946785,21.66666667,312.706789,6664.355023,38.37144111,0.506787633,0.501477569,0.225463453,654.7517123,1.169311686,1.171317366,299374,28455,0.004647326,2704,0.524134321,36883639,1589.982788,0.252135102,1035.027956,36,329,0.618329492,1658100,0.257080592,72607458.56
"1137KN100","Franken","stress",80.92,102144.0883,13487.88527,0.007427171,1792,0.261402347,3414594,675.7562785,812.7587484,0.315447228,1070.333333,608.2564933,17.33333333,270.8440354,4610.174087,41.7348714,0.513339895,0.58160533,0.225902603,673.1307078,0.974835575,0.976507677,260970,20673,0.007676463,1637,0.555136786,34656947,1650.094849,0.239836562,1089.488778,26,336,0.609154248,1605225,0.258305006,53826796.54
"1137KN101","Franken","stress",75.9,100918.1007,14256.19292,0.006771337,2039,0.246082515,2754604,626.8550228,759.2846476,0.330022978,1244.333333,684.2935078,23.33333333,227.0128923,5106.078767,38.74225454,0.507674741,0.523485615,0.224741619,601.9121005,0.970911877,0.972577249,221097,23516,0.005024538,2501,0.536057202,27868277,1368.94873,0.255137878,990.5294327,33,284,0.609559438,1424897,0.262528469,48949752.26
"1137KN102","Franken","stress",80.72,98325.23716,13475.41381,0.007433837,1878.666667,0.250587997,2815596.333,548.7442922,723.6856486,0.367420464,1225,652.4203066,24.66666667,218.5927987,5111.658105,37.37978056,0.509367639,0.539543288,0.226000152,638.0136986,0.962486609,0.964137529,255682,22006,0.006634831,1894,0.547974882,33388284,1472.90332,0.288598376,840.3267152,27,356,0.614753664,1521377,0.258346905,51286738.87
"1137KN103","Franken","stress",77.79,99711.50143,13872.53139,0.006653565,1937,0.259352449,3265074.333,631.1215753,834.682902,0.264241832,1195.666667,725.0123897,24.33333333,224.6047856,5376.184361,37.3354709,0.503578968,0.499804539,0.229063731,705.2939498,1.048282006,1.050080088,279186,24880,0.005668187,2217,0.556053333,37321517,1453.888916,0.244362189,1228.399724,25,420,0.628779627,1709372,0.260392158,54347813.81
"1137KN104","Franken","stress",71.08,92616.34881,12430.10845,0.008006343,1681,0.248170798,2593742,546.1187215,709.1679281,0.352690947,1203,565.6316868,20.66666667,224.0205072,4624.28653,37.93301192,0.510416816,0.586206104,0.226448899,615.3681507,1.119735918,1.121656563,226247,20370,0.00685563,1833,0.54056754,28872750,1406.366943,0.252348827,1043.194281,24,355,0.617641118,1299520,0.261562885,45443217.75
"1137KN027","Isaria","control",122.94,126753.6722,17657.29167,0.005562256,2477,0.230076185,3110758,617.6655251,803.9586589,0.404123028,1248,619.4149773,22.33333333,251.9502711,5648.259132,40.69565384,0.503889814,0.510222709,0.206349053,654.7517123,1.008954166,1.01068479,244689.125,35787,0.002709437,4638,0.50414157,33304743,1524.903809,0.269579356,937.6366192,34,368,0.616874534,1381435,0.231848846,68708007.03
"1137KN028","Isaria","stress",84.37,100156.7863,15032.37728,0.006518661,2323,0.24002046,2716667.333,619.9628995,707.6203817,0.358423514,1216.666667,601.367499,16.66666667,341.3965972,5093.27911,38.12977177,0.500989124,0.489159281,0.207045444,598.9583333,0.924641171,0.926227176,207630,23411,0.004761793,2639,0.505539095,25171539,1325.473755,0.245128683,890.4337684,31,273,0.582926921,1310615,0.234329384,47077721.78
"1137KN029","Isaria","stress",83.96,104409.9356,16328.75285,0.005174159,2569,0.23800413,2807246.333,617.9937215,805.4685059,0.315903651,1050,669.129645,25.66666667,227.722019,5745.733447,36.71095052,0.490747035,0.409986916,0.205303118,689.2123288,0.962455454,0.964106321,229258,28019,0.003670085,3424,0.512915768,28009869,1540.941406,0.219037178,1035.420639,31,312,0.617388704,1435012,0.235336201,51569637.96
"1137KN030","Isaria","stress",84.13,103098.9626,14882.39155,0.006302612,2180.333333,0.238176923,2686098,583.533105,701.1847127,0.388214036,1074.333333,604.022649,21.33333333,223.3344901,4808.732877,41.26995649,0.509428791,0.537594852,0.207962771,609.7888128,0.965079645,0.966735013,201189,24380,0.004254018,2954,0.522407951,25075187,1300.029663,0.263173454,890.4658711,34,266,0.59646717,1221356,0.237276313,47703079.52
"1137KN031","Isaria","stress",83.99,106900.6874,16164.32648,0.005589094,2474.333333,0.234975471,2691313.333,622.9166667,804.2886759,0.333216364,1061,695.2323513,29,194.7044719,5603.296233,38.28968954,0.500162395,0.455215967,0.205630364,670.1769406,1.040384228,1.042168763,204488,25143,0.004065471,3091,0.524098466,25413432,1361.730957,0.213320871,999.925537,27,308,0.603538965,1276159,0.237820141,49865986.63
"1137KN032","Isaria","stress",84.19,101553.391,14434.40354,0.007185061,2098.333333,0.242618442,2868953.667,661.3156393,777.995341,0.353886867,1026.666667,631.4382865,20.33333333,250.1422694,5082.44863,39.06101024,0.502492489,0.465621648,0.20540141,602.8966895,0.961846729,0.963496552,209464,22392,0.005251304,2393,0.51285112,25727333,1429.673218,0.267495727,733.6793938,27,315,0.602278272,1245388,0.235073846,47944537.22
"1137KN033","Isaria","stress",81.95,105769.7025,15891.59532,0.005523527,2404.666667,0.241615359,2886904,639.6546804,803.0232544,0.315350108,1110,714.6373532,23.66666667,237.7980447,5563.912671,38.37520378,0.497635971,0.43671395,0.204519541,667.2231735,0.954629651,0.956267095,216363,25732,0.004106657,3060,0.51777348,26748836,1574.552002,0.215531909,1072.59024,34,257,0.608261627,1372074,0.23538762,50750787.44
"1137KN034","Isaria","stress",84.71,99859.82202,14263.74144,0.006666842,2055,0.243347732,2732326,612.4143836,762.4276733,0.349090953,1036.333333,603.5288432,16.66666667,297.4749504,4925.570776,40.00936256,0.50346721,0.458101795,0.211187662,617.0091324,1.026231101,1.02799136,198855,21196,0.005562802,2259,0.522374378,24897210,1356.422607,0.253944923,970.0210669,34,251,0.59515843,1093925,0.238606062,45935563.7
"1137KN035","Isaria","stress",82.85,103445.6902,16219.79167,0.005790497,2581.666667,0.252279715,3334904.667,592.06621,785.0022176,0.307725658,1204,625.1093257,18.66666667,303.7346946,5703.067922,37.09704503,0.491134511,0.401614458,0.204283355,647.2031963,0.974751147,0.976423105,231797,25943,0.004328753,2903,0.532201681,29798335,1566.958862,0.233887368,912.2483539,25,376,0.606409206,1331711,0.23315226,51375529.64
"1137KN036","Isaria","stress",83.99,107969.3065,15694.02112,0.005652137,2290.333333,0.247213901,3266056.667,567.1232877,764.9151204,0.361075869,1112,659.354879,26,206.4400977,5258.033676,39.02894103,0.502953996,0.495295874,0.204032358,637.6855023,0.976353405,0.978028111,244315,28477,0.003786192,3319,0.529189053,31124149,1434.271851,0.244058373,991.3791139,30,337,0.622816474,1507820,0.2367662,55051021.57
"1137KN037","Perun","control",91.99,115615.4103,17075.72774,0.00534253,2543,0.24940053,3446906.667,862.1718037,982.3061523,0.257505884,902.3333333,768.0963671,26.66666667,238.1893951,6398.187785,36.59672876,0.499112351,0.498787754,0.225080134,680.6792237,1.004531726,1.006254765,257439,21793,0.006814735,1844,0.534558752,33053042,1462.762085,0.233731179,1216.907512,31,312,0.596684949,1649813,0.256662936,60512194
