Gene,Name,Cluster,AP1_S4,AP1_S6,AP3_S4,AP3_S6,AG_S4,AG_S6
AT3G49900,AT3G49900,Unknown,8.825,13.475,20.02,14.175,19.6,18.485
AT3G49950,AT3G49950,Unknown,0.05,0,0.1,0.12,0.115,0.64
AT3G50080,VFB2,Unknown,8.92,10.83,10.96,12.94,17.97,18.125
AT3G50170,AT3G50170,Unknown,1.14,1.085,0.39,0.94,1.205,1.985
AT3G50190,AT3G50190,Unknown,0.125,0,0,0,0,0
AT3G50220,IRX15,Unknown,0,0,0,0.025,0.625,0.34
AT3G50240,KICP-02,Unknown,4.88,7.82,9.255,8.845,14.145,12.695
AT3G50270,AT3G50270,Unknown,2.975,2.705,1.795,1.195,3.84,4.685
AT3G50280,AT3G50280,Unknown,9.94,7.01,1.2,2.335,6.055,11.425
AT3G50330,HEC2,Unknown,0.235,0,0.145,0.15,1.455,5.775
AT3G50370,AT3G50370,Unknown,11.145,18.64,36.575,20.945,35.85,36.605
AT3G50380,AT3G50380,Unknown,1.4,3.015,4.815,4.49,5.145,6.165
AT3G50400,AT3G50400,Unknown,0.295,0,0.045,0.085,0.255,0.595
AT3G50420,AT3G50420,Unknown,0.66,0.355,0.76,0.815,0.875,1.17
AT3G50440,MES10,Unknown,14.42,15.81,2.81,5.05,6.395,6.615
AT3G50500,SRK2D,Unknown,79.075,63.225,41.725,70.755,25.38,31.82
AT3G50560,AT3G50560,Unknown,0.835,1.295,0.29,0.74,0.93,0.165
AT3G50590,AT3G50590,Unknown,9.545,12.59,19.86,15.495,22.115,23.04
AT3G50650,AT3G50650,Unknown,11.52,10.44,13.875,9.41,4.47,5.3
AT3G50750,BEH1,Unknown,2.315,3.365,1.05,0.965,4.49,3.78
AT3G50760,GATL2,Unknown,3.045,1.62,0.54,0.85,4.03,1.94
AT3G50830,COR413-PM2,Unknown,58.675,73.085,55.615,48.88,29.41,31.425
AT3G50840,AT3G50840,Unknown,0.475,0.15,0.065,0.175,0.65,1.25
AT3G50870,MNP,Unknown,25.445,7.8,35.93,19.28,47.32,26.085
AT3G51040,RTH,Unknown,16.53,14.47,12.92,12.475,8.17,9.45
AT3G51060,STY1,Unknown,6.465,9.395,13.76,8.96,15.225,19.16
AT3G51080,GATA6,Unknown,17.565,20.025,35.3,25.14,40.13,38.77
AT3G51120,AT3G51120,Unknown,6.795,11.82,17.115,14.21,12.185,11.28
AT3G51150,AT3G51150,Unknown,4.755,5.795,10.135,8.475,10.88,10.28
AT3G51220,AT3G51220,AP3_AG,0.325,0.135,0.655,0.645,0.78,1.415
AT3G51330,AT3G51330,Unknown,0.455,1.775,1.46,0.595,2.005,2.375
AT3G51420,SSL4,Unknown,13.45,17.91,10.31,6.765,25.16,21.89
AT3G51430,YLS2,Unknown,27.65,37.06,19.34,23.25,12.495,19.69
AT3G51450,AT3G51450,Unknown,20.04,26.74,28.105,18.685,38.315,39.9
AT3G51470,AT3G51470,Unknown,3.42,2.115,2.915,3.605,5.035,4.435
AT3G51480,GLR3.6,Unknown,2.235,2.585,4.85,3.295,5.07,4.855
AT3G51490,TMT3,Unknown,0.12,0.285,0.255,0.295,1.065,0.745
AT3G51500,AT3G51500,Unknown,61.535,40.01,35.005,53.405,17.8,26.985
AT3G51520,DGAT2,Unknown,14.665,14.5,11.445,10.74,8.875,5.205
AT3G51580,AT3G51580,Unknown,7.52,7.135,4.215,5.015,10.525,9.635
AT3G51730,AT3G51730,Unknown,168.75,105.795,41.635,107.93,21.625,29.215
AT3G51760,AT3G51760,Unknown,0.125,0.07,0.155,0.045,0.58,0.615
AT3G51770,ETO1,Unknown,6.215,9.885,10.9,11.59,16.74,13.765
AT3G51810,GEA1,Unknown,8.965,18.3,2.595,10.725,0.285,0.5
AT3G51890,CLC3,Unknown,63.575,73.96,56.625,58.03,23.775,23.675
AT3G52020,scpl39,Unknown,0.045,0.275,0.07,0.045,0.025,0
AT3G52060,GnTL,AP1_AP3,55.22,59.86,64.115,55.115,19.24,25.375
