Gene	Name	Cluster	AP1_S4	AP1_S6	AP3_S4	AP3_S6	AG_S4	AG_S6
AT1G64680	AT1G64680	AG	10.1	20.385	18.905	12.925	54.34	46.805
AT1G66950	PDR11	AG	0.015	0.05	0.025	0.09	0.105	0.59
AT1G67770	TEL2	AG	4.385	2.62	8.22	3.95	15.925	7.165
AT1G68510	LBD42	AG	0.85	0.445	0.925	0.245	5.09	1.37
AT1G69523	AT1G69523	AG	0.745	0.665	0.66	0.525	2.29	1.595
AT1G69530	EXPA1	AG	12.06	19.835	7.96	10.045	24.435	30.2
AT1G70550	AT1G70550	AG	3.685	4.56	6.095	3.725	9.09	9.89
AT1G70560	WEI8	AG	13.96	15.315	11.15	11.255	31.535	29.27
AT1G70820	AT1G70820	AG	2.445	2.52	1.33	1.39	16.12	12.745
AT1G72440	SWA2	AG	11.305	14.44	13.69	14.08	35.655	29.285
AT1G72940	AT1G72940	AG	7.91	6.225	4.24	4.98	13.1	10.135
AT1G73110	AT1G73110	AG	4.12	3.745	3.225	2.78	9.685	6.585
AT1G73600	AT1G73600	AG	4.225	4.09	2.85	2.045	8.49	11.77
AT1G75200	AT1G75200	AG	7.33	8.535	13.94	14.18	23	23.8
AT1G75500	WAT1	AG	36.17	36.715	42.82	28.22	81.545	94.045
AT1G76640	CML39	AG	0.54	0.4	0.685	0.645	3.27	2.63
AT1G78230	AT1G78230	AG	0.845	1.515	1.38	1.01	3.975	3.56
AT1G78580	TPS1	AG	7.53	8.745	8.525	14.22	15.43	18.645
AT1G79110	BRG2	AG	66.675	45.57	49.175	35.97	107	86.595
AT1G79470	AT1G79470	AG	7.345	6.41	10.665	9.28	18.96	16.79
AT1G80120	AT1G80120	AG	26.575	31.83	18.785	16.615	69.69	46.99
AT1G80280	AT1G80280	AG	35.185	34.735	32.285	50.105	65.74	69.715
AT2G03450	PAP9	AG	0.635	1.3	1.135	1.54	2.31	2.735
AT2G03720	MRH6	AG	0	0	0	0	0.075	0.31
AT2G04039	AT2G04039	AG	20.42	12.12	11.795	11.01	25.34	32.225
AT2G16500	SPE1	AG	15.775	19.825	28.845	22.285	71.72	67.66
AT2G16660	AT2G16660	AG	12.865	17.2	21.215	16.72	56.065	61.015
AT2G19110	HMA4	AG	6.965	8.625	10.495	12.065	17.855	18.035
AT2G20362	AT2G20362	AG	0.915	1.325	1.275	0.77	3.275	2.56
AT2G21370	XK1	AG	3.97	3.55	7.03	5.82	15.185	12.45
AT2G22330	CYP79B3	AG	1.94	1.81	1.015	1.68	10.505	15.15
AT2G26120	AT2G26120	AG	0	0	0	0	0.105	0.375
AT2G26700	PID2	AG	2.955	2.8	3.88	4.39	6.355	6.155
AT2G27660	AT2G27660	AG	0.15	0.34	0.24	0.235	1.215	0.825
AT2G32540	CSLB04	AG	1.43	2.26	1.015	1.41	3.055	3.64
AT2G32680	RLP23	AG	0.445	0.34	0.54	0.29	1.545	1.555
AT2G34920	EDA18	AG	1.575	2.04	2.435	3.945	4.51	4.8
AT2G36790	UGT73C6	AG	0.56	0.265	0.59	0.365	2.025	1.445
AT2G37450	UMAMIT13	AG	4.235	3.92	7.095	5.515	9.735	10.56
AT2G38170	RCI4	AG	28.985	39.205	27.975	25.085	56.93	51.23
AT2G38230	PDX1.1	AG	37.37	43.03	44.06	45.55	88.355	91.75
AT2G39700	EXPA4	AG	48.49	37.66	50.275	38.42	97.645	103.525
AT2G41080	AT2G41080	AG	3.465	3.595	5.275	5.015	7.3	7.25
AT2G42980	AT2G42980	AG	0.34	0.395	0.355	0.545	0.885	1.145
AT2G44930	AT2G44930	AG	0.115	0.065	0.19	0.075	0.76	0.445
AT2G46410	CPC	AG	4.895	3.14	2.53	1.93	8.725	5
AT2G47370	AT2G47370	AG	5.33	3.53	6.56	4.095	10.84	10.225
AT2G47450	CPSRP43	AG	87.605	93.865	93.05	88.245	210.065	220.79
AT3G05640	AT3G05640	AG	3.465	3.16	5.9	2.95	13.965	9.185
AT3G08990	AT3G08990	AG	9.41	6.815	6.41	6.115	17.065	13.76
AT3G12120	FAD2	AG	242.87	220.525	430.72	261.315	557.445	484.04
AT3G12730	AT3G12730	AG	2.175	2.56	1.86	1.33	4.085	4.24
AT3G12920	BRG3	AG	16.82	15.695	10.975	9.47	22.745	19.99
AT3G14690	CYP72A15	AG	11.775	14.165	15.32	11.47	26.49	26.315
AT3G18710	PUB29	AG	6.2	5.93	4.365	3.21	11.29	9.4
AT3G19184	AT3G19184	AG	12.99	7.695	21.955	12.055	28.18	17.685
AT3G21760	HYR1	AG	12.825	12.705	6.45	7.795	17.095	18.995
AT3G23080	AT3G23080	AG	1.83	4.97	3.5	2.775	10.08	8.37
AT3G29030	EXPA5	AG	9.44	11.06	13.12	7.955	29.43	23.845
AT3G54890	LHCA1	AG	481.605	627.57	647.14	485.005	1032.965	1182.555
AT3G55110	ABCG18	AG	17.025	25.555	22.485	18.11	39.05	40.49
AT3G57150	NAP57	AG	91.695	89.8	142.04	110.435	298.415	240.42
AT3G58000	AT3G58000	AG	0.59	0.21	0.305	0.135	0.745	2.575
AT3G58780	SHP1	AG	0.37	0.64	0.435	0.48	1.03	4.17
AT3G60750	TKL1	AG	164.92	205.295	241.39	173.655	361.885	351.16
AT4G01440	UMAMIT31	AG	1.14	0.975	1.915	0.825	3.78	3.85
AT4G02130	LGT10	AG	5.765	7.27	11.075	8.09	22.165	23.765
AT4G03400	GH3-10	AG	7.2	13.09	8.68	8.12	16.965	25.63
AT4G09160	AT4G09160	AG	12.18	16.905	17.845	12.53	31.395	26.61
AT4G11140	CRF1	AG	1.91	2.81	2.15	2.925	4.69	5.805
AT4G12910	scpl20	AG	0.85	0.99	1.605	0.645	2.83	3.675
AT4G13710	AT4G13710	AG	3.23	4.32	4.915	4.785	13.69	9.32
AT4G13840	CER26	AG	4.04	5.335	7.345	5.315	10.76	14.275
AT4G13940	SAHH1	AG	406.255	337.935	646.95	593.97	927.475	814.735
AT4G14440	HCD1	AG	30.865	46.435	29.96	26.88	84.895	89.055
AT4G14690	ELIP2	AG	41.135	23.14	28.84	20.17	108.605	68.745
AT4G16860	RPP4	AG	1.865	2.77	1.59	1.435	5.005	4.4
AT4G17090	CT-BMY	AG	61.975	79.75	51.875	52.115	139.125	134.955
AT4G18820	AT4G18820	AG	12.74	18.635	18.525	22.455	36.33	39.025
AT4G19530	AT4G19530	AG	0.505	0.48	0.53	0.375	2.03	1.415
AT4G19960	KUP9	AG	1.52	2.425	2.345	1.595	4.45	3.88
AT4G24350	AT4G24350	AG	6.885	5.725	4.81	3.965	12.875	10.59
AT4G24770	RBP31	AG	171.935	175.005	179.335	169.515	365.365	344.245
AT4G25620	AT4G25620	AG	3.695	5.595	4.72	3.52	10.495	10.4
AT4G25630	FIB2	AG	72.09	37.79	68.805	75.07	170.93	104.405
AT4G27970	SLAH2	AG	0.255	0.265	0.265	0.22	0.855	0.815
AT4G28080	AT4G28080	AG	7.86	13.29	14.81	12.29	37.53	35.94
AT4G28190	ULT1	AG	34.305	22.325	52.735	34.945	104.785	58.965
AT4G28630	ATM1	AG	3.28	4.38	5.155	3.585	7.04	8.635
AT4G31500	SUR2	AG	36.385	30.82	19.065	22.875	51.425	60.27
AT4G31620	AT4G31620	AG	10.275	7.66	16.515	8.435	20.755	15.605
AT4G32880	HB-8	AG	4.055	5.23	6.7	5.46	11.295	11.935
AT4G34610	BLH6	AG	0.795	1.135	0.71	0.815	4.335	3.15
AT4G34740	DOV1	AG	6.16	9.235	8.42	7.665	18.33	18.55
AT4G37560	AT4G37560	AG	6.33	7.19	3.515	5.215	9.49	11.385
AT4G39420	AT4G39420	AG	0.305	0.385	0.455	0.49	0.895	1.16
AT4G39950	CYP79B2	AG	4.895	3.88	4.13	3.52	12.775	10.67
AT5G01015	AT5G01015	AG	14.985	17.285	18.28	13.19	44.975	36.925
AT5G01590	TIC56	AG	30.565	29.71	41.615	34.025	69.805	73.72
AT5G02540	AT5G02540	AG	9.53	3.16	5.105	2.935	18.59	6.065
AT5G02940	AT5G02940	AG	8.41	16.02	12.775	12.53	38.755	40.11
AT5G04140	GLUS	AG	7.95	12.455	12.385	9.57	68.265	64.47
AT5G05470	EIF2-A2	AG	16.145	16.225	19.37	20.42	40.185	41.605
AT5G06710	HAT14	AG	1.25	0.87	0.94	1.13	2.88	3.695
AT5G10880	AT5G10880	AG	0	0	0	0	0.035	0.165
AT5G11420	AT5G11420	AG	3.11	4.195	3.39	2.115	7.995	10.135
AT5G11710	AT5G11710	AG	54.72	49.12	93.595	68.695	238.635	141.5
AT5G12470	AT5G12470	AG	18.28	19.98	29.46	24.92	44.09	45.525
AT5G13770	AT5G13770	AG	5.5	7.28	4.595	6.41	14.425	14.3
AT5G14940	AT5G14940	AG	0.145	0.315	0.185	0.2	0.605	0.915
AT5G15300	AT5G15300	AG	0.73	0.795	1.31	0.625	1.725	1.555
AT5G15420	AT5G15420	AG	0	0	0	0	1.03	0.565
AT5G19170	AT5G19170	AG	1.105	0.745	1.44	0.9	3.575	2.89
AT5G19300	AT5G19300	AG	9.59	8.945	12.09	13.265	22.565	19.275
AT5G20690	PRK6	AG	0	0	0	0	0.145	0.05
AT5G20700	AT5G20700	AG	64.925	76.665	81.12	56.585	140.975	175.475
AT5G20710	BGAL7	AG	0.305	0.835	0.48	0.46	1.035	1.745
AT5G21430	NdhU	AG	16.645	17.64	10.07	14.11	26.865	30.535
AT5G22860	AT5G22860	AG	0.4	0.225	0.445	0.21	2.875	1.735
AT5G25490	AT5G25490	AG	2.35	1.27	1.775	1.705	6.91	10.345
AT5G35770	SAP	AG	4.895	2.805	7.51	4.505	22.275	11.1
AT5G41140	AT5G41140	AG	3.75	5.44	6.285	6.835	11.44	11.975
AT5G43870	AT5G43870	AG	4.855	6.565	8.85	6.2	12.09	14.585
AT5G52030	AT5G52030	AG	5.255	7.36	7.905	6.43	13.01	13.1
AT5G53010	AT5G53010	AG	0.885	0.96	0.88	1.255	2.165	2.09
AT5G54130	AT5G54130	AG	3.915	3.545	4.51	3.84	8.065	8.7
AT5G54770	TZ	AG	428.52	420.48	228.84	249.23	620.935	580.665
