"Gene","Module","CSE.1","CSE.2","CSE.3","CZ.1","CZ.2","CZ.3","ESR.1","ESR.2","ESR.3","BETL.1","BETL.2","BETL.3","AL.1","AL.2","AL.3","EMB.1","EMB.2","EMB.3","NU","PC","PE","PED"
"GRMZM2G051932","M4",3.26484,2.85668,3.09192,3.21364,2.07487,2.76593,0.649653,0.705914,1.42764,1.5608,1.24103,1.53325,4.69193,6.04901,7.64024,3.9747,3.96157,5.11499,23.2379,1.52774,8.80683,3.20016
"GRMZM2G051955","M7",0,0,0,0,0,0,0.963541,0,0.350788,0,0,0,0,1.24887,0,5.29526,10.6826,6.6047,0,0,7.68283,0.9262
"GRMZM2G052034","M4",0.757628,1.32642,3.02742,4.3969,2.42525,4.05358,9.74337,4.46943,9.66818,31.8583,23.513,44.9746,3.50067,5.37424,5.16054,0,0.715517,0,110.726,26.8547,11.1788,4.32503
"GRMZM2G052067","M8",0,0,0,0,0.393079,0,1.72224,0.436409,0,0,0,0,0,0,0,14.5668,2.07164,11.1383,0,0,0,0
"GRMZM2G052100","M16",3.22269,0,6.23841,0,0.37206,0.505879,0,0,1.7756,0,0,4.45269,0,0,0,9.0823,0.92613,0,15.4935,79.0927,2.14868,52.8569
"GRMZM2G052102","M6",0,0,0,0,0,0,0,0,0.410621,0,0,0,0,0,0,1.69772,2.05793,0,6.46226,0.591925,6.97691,0
"GRMZM2G052105","M9",0,9.99824,11.1706,1.0251,0.871984,4.77535,0,0,0.990683,0,0,0,3.01106,5.91034,11.8153,5.52188,0,20.08,0,0,2.55653,0
"GRMZM2G052111","M8",0,0,4.7538,0,0,0,0.331975,0,0,0,0,0,0,0,0,11.4768,18.2143,5.61731,0,0,0,2.29389
"GRMZM2G052193","M7",6.06418,0,0.635058,1.79471,0.547578,0,0,0,0,0,0,0,3.55081,0.744102,4.39558,0,4.47663,3.63681,0,0,3.23489,0
"GRMZM2G052206","M7",1.59111,4.14454,2.58473,0.22207,0,0,0.264958,0.559283,0.536445,0,0.150309,0,5.94592,4.25755,2.48566,6.60807,5.53232,4.98155,1.15337,0.256008,5.14994,0.829895
"GRMZM2G052266","M3",3.25215,3.87097,7.0559,0.474848,0.452707,0.693091,0,0,0,0,0,0,1.42376,3.65149,1.79561,0,0,0,0,0.871189,2.61698,11.9471
"GRMZM2G052288","M18",0,0,0,0,1.27287,0.966113,0,2.12198,0.769339,39.3771,27.4901,36.9304,0,0,0,0,0,0,0,0,0,0
"GRMZM2G052323","M3",0,0.91824,0,2.22371,0.729639,0,5.51303,4.83773,3.27741,0,0,0.564072,2.47139,4.35541,0,0.715744,0,8.57087,0,1.09899,7.94052,16.7701
"GRMZM2G052336","M14",9.3577,5.7977,5.94545,8.36087,4.68626,6.06273,1.91401,4.06463,3.76299,1.03389,2.12068,0.25765,4.32481,3.30617,2.77922,8.90469,5.48044,4.86432,18.0301,48.5695,14.9037,22.959
"GRMZM2G052365","M17",16.4061,7.66072,10.0111,20.833,18.7222,17.9526,1.11552,0.840654,1.03456,1.7027,1.99248,0.939009,4.29082,1.90716,3.54643,3.02568,4.1871,4.7861,3.49773,1.6227,5.31641,2.41521
"GRMZM2G052422","M3",0.895153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.870675,5.07071,0,5.70713,12.3268,62.9477
"GRMZM2G052434","M3",0.299531,0.205182,0.3179,0.419187,0.0432834,0.258155,1.01568,1.2292,1.31259,0.202263,0.0708091,0.0636565,0.259545,0.689594,0.565816,0.250619,2.09951,1.53619,10.2099,5.68208,4.9189,8.38078
"GRMZM2G052467","M4",1.24849,1.58332,4.73742,3.77427,2.48133,2.79954,0,0,0,0.797865,0,0.591811,0,0,0,6.096,3.20962,0,9.72425,0,0,0
"GRMZM2G052474","M6",5.7267,3.67114,4.31389,6.2865,8.70229,1.70234,17.8103,6.44769,9.81855,6.16494,3.96409,4.91683,3.74251,5.45542,4.6255,4.70469,3.6217,4.85253,7.1246,4.24769,40.9212,20.6165
"GRMZM2G052476","M16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.85751,5.31444,3.04709,0,10.5329,0,5.02399
"GRMZM2G052482","M4",0,0,0.562629,0.615284,1.53924,0.656103,0,0,1.66456,0,0,0,9.45654,7.73191,5.81012,0,2.81389,1.63076,7.72665,0,0,0
"GRMZM2G052499","M17",0,0,0.0673377,11.17,14.8422,7.59207,0.393792,0.0889499,0.30592,1.83431,4.27744,2.14495,0,0,0,0,0.147282,0,0,0,0,0
"GRMZM2G052507","M8",0,0,0,0,0,0.576144,0,0,0.9365,0,0,0,1.39255,0,0,128.048,104.158,176.111,0,0,7.7723,6.53439
"GRMZM2G052509","M3",0,0,0,0,2.92385,0,0,0,0.788894,8.82e-08,0.449871,0.467752,0,0,0.156152,0.799681,2.78577,2.17315,0.866352,15.7943,5.18895,38.4223
"GRMZM2G052548","M15",0,0.160413,2.29e-16,9.71e-07,1.99e-06,2.96e-06,21.5642,16.9317,26.4062,6.11e-06,3.68e-06,0.528314,0.417653,1.31e-06,5.81e-08,9.72e-07,1.03e-06,0,0,4.33e-07,1.15241,7.77e-07
"GRMZM2G052562","M3",0,0,0,0,0,0,0.203315,0.668708,1.90387,1.48624,0,1.00117,0,0,0,0.68811,0,0,1.36597,13.242,49.4551,271.665
"GRMZM2G052586","M6",0,1.78557,1.14729,0.987192,1.01526,0.411727,0.949116,1.46398,0.730974,1.45e-08,3.13e-08,0.373963,4.74431,2.43497,0.585085,9.83874,10.9091,11.8732,3.65391,2.75129,29.3393,8.20484
"GRMZM2G052666","M14",2.54028,3.42784,5.50852,4.64611,3.61077,6.30721,4.62475,3.23348,7.58865,3.82926,2.84876,5.94769,0.911898,6.30287,6.42427,1.27805,5.97236,5.46012,21.4507,47.7762,10.1798,27.8109
"GRMZM2G052667","M4",5.9162,6.68198,10.8993,8.55562,11.6599,9.11596,4.07736,4.09175,6.32621,3.03864,2.07667,1.19362,1.98725,2.99644,3.75041,3.77097,4.43448,2.12758,617.263,128.579,80.1021,66.3187
"GRMZM2G052740","M12",11.5479,10.4622,14.5544,4.80595,4.01402,6.72717,3.545,3.15592,2.23453,2.47741,3.1998,3.56315,36.5277,39.4708,39.9848,10.7379,23.8128,20.924,0.558663,0.125916,1.11445,0.65553
"GRMZM2G052869","M12",339.519,384.367,420.416,52.5407,87.6234,73.9335,189.915,182.944,298.361,516.441,623.161,611.14,2733.24,3019.28,4408.93,90.6895,87.4215,61.2904,1037.84,160.625,2729.55,370.536
"GRMZM2G052890","M6",0,0,0,0.161605,0,0,2.13879,0,1.88115,0.321003,0,0.223476,0,0,0,0.33396,0,0,54.6273,32.6071,160.768,81.3821
"GRMZM2G052920","M3",0,0,0,0,0,0,0,0,3.87619,0,0,0,0,0,0,0,0,0,0,0,5.39944,11.4908
"GRMZM2G052948","M6",0,0,0,0,0,0,1.87089,2.02025,1.86526,0,0,0,0,0.134606,0,0.444773,1.21011,0.131803,0,0,5.76977,2.68611
"GRMZM2G053177","M17",24.2348,45.8174,29.2198,78.0185,65.1871,43.5751,32.2445,52.2043,44.4042,26.3774,39.4648,28.1649,14.3655,13.3987,9.40512,0.891785,0.26537,0,2.1148,0,1.22622,0
"GRMZM2G053206","M18",0,0,2.61038,0.634038,0.543586,3.22392,0.745541,4.30552,1.97671,1.83129,3.5834,8.46343,0,0,0,0,0,0,0,0,0,1.78297
"GRMZM2G053273","M3",19.3558,20.1663,20.3586,35.6358,29.9458,24.2131,20.5247,13.7786,14.8095,13.0815,10.2371,9.16989,11.6734,13.1868,8.48541,2.90065,5.93305,6.60095,18.6475,65.323,59.4957,197.928
"GRMZM2G053311","M6",1.36558,0.461608,2.09675,1.00021,0.635594,0.827722,0.551987,0.203907,0.406475,0.34163,0.256052,1.11013,4.78291,1.64139,3.55049,0.263473,1.28301,0.749558,2.34364,0.906468,6.92204,2.08532
"GRMZM2G053322","M8",2.21458,1.29375,1.9557,0.4453,0.850998,1.20303,1.84541,1.36817,0.709965,1.12434,1.25112,0.2555,5.30017,5.40965,3.35573,27.2363,18.2001,15.9962,5.05607,4.45089,10.4745,15.9595
"GRMZM2G053338","M16",0,0.986148,0,0,0,0.367425,0,0,0.296614,0,0.336938,0,35.1131,34.0398,69.0949,10.859,10.3012,5.76165,0.62383,129.376,38.719,109.929
"GRMZM2G053442","M4",6.83806,2.0996,4.00981,0.937363,0,6.09393,0.602008,0,0,0,0,0,2.76281,0,0,0,0,0,6.11709,0,0,0
"GRMZM2G053466","M8",0,0,0,0,0,0,2.07754,2.3492,0.802234,0.626874,0.460726,1.03897,0,0,0,130.124,92.7947,153.385,0.883392,0,0,0
"GRMZM2G053503","M4",72.0285,56.2611,72.959,56.6769,78.8299,123.511,24.4087,19.5975,22.5672,12.3359,15.411,25.845,19.8808,12.3278,7.18343,181.021,46.9547,92.9265,307.055,203.055,5.12717,11.8081
"GRMZM2G053507","M3",0,0.407891,1.35264,1.04423,1.1208,0.924555,0.850551,0.868431,0.847345,0.912239,0.443174,0.166446,0.746394,1.24969,1.25341,3.12623,4.04634,4.10223,0,0.773679,1.72088,4.84979
"GRMZM2G053627","M11",0,0,0,0.385324,1.26918,0.418991,0.276262,0,1.09411,0.663311,0.460507,0,0,0,0,2.14642,6.78484,7.14333,3.13727,5.85343,1.86734,0
"GRMZM2G053707","M6",15.0366,46.1375,66.8121,6.99415,18.4393,39.005,0,0,2.84342,0,0,0,0,0,0,8.61704,0,0,51.611,4.89263,86.3665,7.75803
"GRMZM2G053720","M3",1.41855,1.35401,4.5358,0,1.6383,4.0321,0,0,2.5447,0.917823,2.15888,0.760471,5.35786,1.44007,4.2344,1.29523,0,10.2177,34.2251,195.658,62.5667,574.653
"GRMZM2G053722","M6",0,0,0,0,0,0,0.644627,0.197315,0.354843,0,0,0,0,0,0.286876,0.289827,1.15396,0.522651,1.15375,4.08928,9.41971,3.05206
"GRMZM2G053726","M4",1.58428,1.36989,2.85937,0.304468,0.845203,1.94148,1.0732,0.969425,0.970495,0,0.412678,0.406996,1.80596,1.12871,5.98098,3.03756,2.19167,3.44054,7.44944,0,0.834056,1.69899
"GRMZM2G053779","M5",0,0,0,0,0,0,0,0.880798,0.930169,0,6.33194,0,0,0,0,0,0,0,14.0788,9.52143,18.9798,24.5475
"GRMZM2G053831","M6",0,1.28827,0.568306,1.53618,0.697097,0.675201,1.30103,0.205958,0.594814,1.06597,1.0337,0.746318,1.70868,0.468988,1.63882,1.10088,1.76783,1.55165,0.421132,1.71112,9.0349,3.04744
"GRMZM2G053833","M5",0,0,0,0,0.548045,0.746602,0,0,0,0,0.764248,3.77123,0,0,0,2.19947,0,0,0,0,4.8785,8.23481
"GRMZM2G053909","M18",0.406472,3.22045,0.145139,0.142854,0.668841,0.869152,0.687456,1.1142,1.70341,21.4561,12.6018,21.0577,0.416125,0.176736,0.252287,0,0,0,12.4228,11.4396,0,5.73379
"GRMZM2G053921","M3",4.56811,5.51627,6.46569,3.35664,5.02213,2.50506,4.25696,2.621,4.62318,3.97003,10.0701,9.19405,3.66579,4.33252,6.47794,2.92381,2.33683,2.48607,11.5973,35.5903,18.6931,125.966
"GRMZM2G053925","M3",2.29543,1.07079,2.12934,2.19701,2.47477,0.850649,1.07008,1.473,1.27992,2.20726,1.76974,1.6235,5.28287,5.91837,2.94911,4.33112,7.44981,4.11099,2.50238,5.41722,5.36682,20.4022
"GRMZM2G053987","M12",0.819626,0.393457,0,0,1.19667,1.67307,4.02865,4.66431,8.12235,12.6405,24.1495,34.1602,51.8057,38.1827,62.963,21.3037,23.0183,7.59871,0,0.401314,18.8355,13.3582
"GRMZM2G054022","M6",3.97067,0.824556,0,0,1.32095,5.56,0.532944,0,1.60145,0,0.954817,6.82074,0,0.903411,0,0,0,0,1.68669,0,3.97021,0
"GRMZM2G054032","M2",0,0,1.20452,0,0,0,0,0.578702,1.20346,0,0,0,1.89862,4.28667,2.98793,3.36608,5.44376,6.24693,0,0,0,1.58974
"GRMZM2G054046","M16",0,0,0,0,0,0,0,11.0036,0,0,0,0,0,0,0,4.71604,0,6.51712,2.49038,6.12028,0,3.33712
"GRMZM2G054065","M2",3.35e-21,0,3.23303,1.54e-18,3.54401,5.04582,0.550776,5.09164,1.72527,0,0.476435,0,6.4268,7.51839,16.7033,8.16428,17.2254,7.958,0,1.48156,4.38746,5.13e-166
"GRMZM2G054115","M6",0,0,0,0,0,0,0,0.349683,0.729543,0,0,0,0,0,0,0,0.698713,0,2.40558,0,20.8181,3.32344
"GRMZM2G054123","M6",10.5998,13.231,17.6501,5.09092,8.32877,7.89024,23.5153,28.3442,37.4028,2.49187,9.69156,7.52163,1.95638,5.01392,9.8394,27.8761,31.0549,26.53,50.7019,28.8853,172.092,88.3688
"GRMZM2G054152","M5",0.244012,0,0,0,0,0.0963531,0.405189,0.119634,0.588966,0.167708,0.119249,0.216091,1.11798,0.212464,0.682251,0.814758,2.23431,1.40245,1.69031,0.533244,4.95137,2.80136
"GRMZM2G054162","M4",12.5656,12.6106,8.27357,15.1388,11.1873,6.59762,10.1942,11.7095,6.37877,4.693,6.54966,3.24794,11.0692,12.2405,8.28264,14.359,13.7122,13.3637,97.8374,5.19243,20.4296,15.0915
"GRMZM2G054163","M4",0,0.441868,0.0754811,0.425523,0.581,0.0830222,0.0776773,0.617766,0.46694,0.382921,0,0.108552,1.1322,0.489846,0.668941,1.37099,2.79341,1.66577,5.72387,0.288486,2.06905,3.52399
