Cluster	AG	AP1	AP2	AP3	BLR	PI	SEP3	LFY	JAG	ETT	RGA
AP1	3.04183	3.48977	0.71696	2.97964	1.20988	3.93112	2.67297	1.23635	1.38351	2.78044	1.67048
AP1	1.52774	3.57233	2.24229	1.83262	3.70842	1.34619	3.35904	2.91485	5.6969	3.93262	4.74402
AP1	0.616397	0.99021	1.16417	0.97277	1.62803	0.766123	1.20362	1.29457	1.48343	2.75347	0.763671
AP1	1.63839	1.09603	1.19444	1.01395	1.22823	1.14011	1.17365	0	3.67739	2.41251	1.75039
AP1	0.337331	0.999299	1.10411	0.83949	4.63516	0.870364	1.09757	1.06499	4.18784	1.20833	0.895804
AP1	2.56131	0.656561	0.843749	1.69513	1.51266	2.05958	1.3464	1.02366	0.696089	4.82923	1.48343
AP1	0.985939	1.21878	1.04099	1.38993	2.44273	1.53457	1.11756	0.727148	6.29769	4.75422	6.3952
AP1	1.49194	0.530676	2.04979	1.53942	2.8742	1.65379	0.553686	0.49442	4.41696	1.58909	1.01744
AP1	0.738475	1.66524	1.53405	1.24417	1.27232	1.07452	1.52405	0.780701	2.27069	2.66375	2.77016
AP1	1.10638	0.698705	0.71696	1.00266	2.34582	1.23369	0.76983	2.15989	1.27089	1.3812	2.79063
AP1	1.23863	1.0647	1.36082	1.66931	1.12612	1.11547	1.07884	0	8.01768	0.913751	1.50019
AP1	2.83579	2.43725	1.31782	2.71113	8.83615	2.93439	2.42728	1.46842	4.28515	1.40678	3.29697
AP1	0.864121	2.6758	0.605273	1.432	1.5849	1.94401	2.25064	6.34266	1.0417	0.771181	1.35194
AP1	2.58411	5.4178	1.34228	4.11559	0.865345	3.38088	4.08374	0.99232	0.820097	2.30762	2.47345
AP1	1.16235	5.08218	0.97733	1.72825	11.5478	2.95323	3.1118	0	1.2552	3.37716	1.97639
AP1	0.94302	2.02016	0.911284	1.49337	4.51826	1.12592	1.17854	0.905124	2.8027	0.981334	1.23324
AP1	0.92632	1.16489	1.38814	0.771698	1.67158	0.685367	0.766118	0.814219	1.07725	2.11977	2.19851
AP1	1.19303	0.545449	1.99088	1.54999	2.33846	1.75035	0.752945	1.72491	1.0849	1.6972	3.28808
AP1	1.3374	1.24383	1.04099	1.27578	1.69505	1.50607	1.21718	0	1.24378	0.930017	1.51096
AP1	1.9921	1.28027	2.55167	3.64641	2.74629	3.5221	1.95876	2.66107	3.51569	2.5023	7.18439
AP1	2.88552	0.919828	0.605273	0.664561	1.76707	0.387645	0.55243	0	0.995609	1.46217	0.57593
AP1	1.66425	3.54284	0.942874	0.740013	2.24311	0.890785	3.32625	0	4.50333	1.97809	5.34232
AP1	3.28478	1.71566	3.46564	1.85322	1.11085	2.25664	2.54418	1.96489	1.83624	2.07969	7.56483
AP1	1.92392	3.48977	2.87888	1.5348	4.0331	2.23346	1.9003	0.780701	0.653682	3.85684	1.22348
AP1	9.80625	21.1983	11.0348	8.54659	1.84044	3.57465	10.9183	2.17318	5.56403	13.6515	4.43778
AP1	2.75634	3.41752	2.2998	4.99591	1.69292	4.80936	2.8912	3.03397	10.0222	3.40564	3.99403
AP1	3.17147	1.49211	0.605273	1.04171	3.81964	1.66813	1.58544	1.98178	0.923983	2.18618	0.638662
AP1	1.43828	1.19611	0.819805	0.977454	0.861099	0.852028	0.729998	0	1.08269	1.69836	0.987533
AP1	2.34272	3.15427	1.27026	5.42749	2.37665	3.65987	2.21181	1.49211	1.00328	1.76115	0.886692
AP1	1.28536	1.38378	1.27026	1.27924	2.82398	1.90104	0.607356	0.759302	1.78927	0.941314	1.18958
AP1	4.35052	2.77542	4.48862	2.66629	1.53621	2.82333	3.25717	2.91485	1.29218	1.7748	1.47839
AP1	1.82159	2.05392	0.834162	2.68885	5.03312	1.72162	1.4011	0.411904	2.08375	1.03829	1.08192
AP1	1.12256	0.866293	0.360593	0.617322	1.39737	0.715082	1.2047	0	2.18666	2.55695	1.21578
AP1	0.706659	0.918451	0.898157	2.11981	0.801145	2.61412	1.29303	2.41582	0.789952	2.68899	5.59991
AP1	1.01006	0.560078	1.27026	0.725597	4.84033	0.837266	0.653811	2.19797	0.911422	0.975344	0.917453
