Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-708	WILD			S. cheesmaniae	LA0483		EA00581	329,795,238 	30.9369	87.07%	97.258%
TS-709	BIG	S. lycopersicum x S. cheesmaniae		S. lycopersicum			CGN15820/TR00024	345,264,918 	31.9974	87.58%	97.827%
TS-710	WILD			S. cheesmaniae	LA1401	PI 365897	EA00652	356,243,706 	33.2993	87.15%	97.347%
TS-711	WILD			S. neorickii	LA2133		EA00729	355,805,642 	25.6911	78.47%	87.651%
TS-712	WILD			S. neorickii	LA0735		CGN24193/TR00025	350,130,194 	25.1058	75.94%	84.825%
TS-713	WILD			S. arcanum	LA2157		TR00008	319,841,998 	23.0233	78.74%	87.953%
TS-714	WILD			S. arcanum	LA2172		TR00009	342,419,592 	25.3147	78.46%	87.640%
TS-715	WILD			S. peruvianum	LA1954		EA00713	353,987,214 	22.7626	77.51%	86.579%
TS-716	WILD			S. huaylasense	LA1983		TR00010	355,378,646 	24.344	79.69%	89.014%
TS-717	WILD			S. huaylasense	LA1365	PI 365953	TR00011	315,560,304 	20.8542	78.74%	87.953%
TS-718	WILD			S. chilense			CGN15532/TR00012	319,402,124 	20.1674	79.11%	88.366%
TS-719	WILD			S. chilense			CGN15530/TR00013	327,809,052 	21.3267	78.27%	87.428%
TS-720	WILD			S. habrochaites		PI 127827	CGN15791/TR00014	336,632,192 	21.5089	75.06%	83.842%
TS-721	WILD			S. habrochaites		PI134418	TR00015	339,423,882 	21.5528	76.82%	85.808%
TS-722	WILD			S. habrochaites			CGN15792/TR00016	334,488,790 	21.399	76.57%	85.529%
TS-723	WILD			S. habrochaites	LA1718	PI 390663	EA00699	332,549,388 	21.0286	78.80%	88.020%
TS-724	WILD			S. habrochaites	LA1777		EA00703	277,295,968 	17.8093	75.78%	84.647%
TS-725	WILD			S. habrochaites	LA0407	PI 251304	EA0558	356,241,858 	22.2393	75.40%	84.222%
TS-726	WILD			S. habrochaites			LYC4/TR00017	317,783,228 	20.3136	74.68%	83.418%
TS-727	WILD			S. pennellii	LA1272	PI 365970	LYC1831/EA02701	336,518,148 	21.5933	77.57%	86.646%
TS-728	WILD			S. pennellii	LA0716	PI 246502	EA00585	249,340,044 	16.0833	75.74%	84.602%
TS-729	WILD			S. huaylasense	LA1364		TR00030	339,753,266 	21.7753	78.37%	87.540%
TS-730	BIG	Large Red Cherry		S. lycopersicum			TR00018	331,309,690 	32.1365	89.17%	99.603%
TS-731	CER	Porter		S. lycopersicum var cerasiforme			EA00940	337,475,994 	33.03	88.84%	99.235%
TS-732	BIG	Bloody Butcher		S. lycopersicum			TR00019	308,927,328 	30.597	89.04%	99.458%
TS-733	BIG	Brandywine		S. lycopersicum			EA01019	314,246,476 	30.3896	88.93%	99.335%
TS-734	BIG	Dixie Golden Giant		S. lycopersicum			TR00020	358,471,248 	34.5601	89.24%	99.682%
TS-735	BIG	Giant Belgium		S. lycopersicum			EA01037	327,988,190 	31.6279	89.12%	99.548%
TS-736	BIG	Kentucky Beefsteak		S. lycopersicum			TR00021	336,765,600 	32.069	88.92%	99.324%
TS-737	BIG	Marmande		S. lycopersicum		PI647486	TR00022	303,425,382 	30.054	88.96%	99.369%
TS-738	BIG	Thessaloniki		S. lycopersicum			TR00023	338,003,662 	33.0494	89.15%	99.581%
TS-739	BIG	Watermelon beefsteak		S. lycopersicum			EA01640	326,685,920 	32.3112	88.72%	99.101%
TS-740	BIG			S. lycopersicum	LA4133		TR00026	298,160,742 	28.9397	88.88%	99.279%
TS-741	BIG			S. lycopersicum	LA142		TR00027	337,795,484 	32.0855	89.09%	99.514%
TS-742	WILD			S. galapagense	LA1044		TR00029	309,098,468 	29.4744	87.73%	97.995%
TS-743	BIG			S. lycopersicum	LA1479		TR00028	338,145,840 	31.247	86.85%	97.012%
TS-744	WILD			S. arcanum	LA2157			225,153,820 	19.2018	73.40%	81.988%
TS-745	WILD			S. habrochaites			LYC4	150,234,538 	12.0365	70.00%	78.190%
TS-746	WILD			S. pennellii	LA0716			165,798,036 	13.0569	68.68%	76.716%
