Individual code	Group	Name	Categories	Botanical variety	TGRC 	PI CGN#	EA #	original reads	depth	coverage	coverage(without "N")
TS-515	BIG	Garden Peach		S. lycopersicum				56,516,904 	5.6036	87.32%	97.537%
TS-516	BIG	German Head		S. lycopersicum				48,219,138 	5.3714	88.17%	98.486%
TS-517	BIG	German Queen		S. lycopersicum				62,034,688 	6.1478	88.05%	98.352%
TS-518	BIG	Giant Belgium		S. lycopersicum				54,096,346 	6.0742	87.45%	97.682%
TS-519	BIG	Giant Oxheart		S. lycopersicum				70,555,854 	8.0022	87.86%	98.140%
TS-520	BIG	Glacier		S. lycopersicum				58,318,200 	6.1416	87.97%	98.263%
TS-521	BIG	Green Zebra		S. lycopersicum				63,404,982 	7.2801	88.16%	98.475%
TS-522	BIG	Gulf State Market 		S. lycopersicum				52,072,854 	6.0111	86.22%	96.308%
TS-523	BIG	Hillbilly		S. lycopersicum				57,532,144 	6.3787	77.97%	87.093%
TS-524	BIG	Japanese Black Trifele		S. lycopersicum				59,721,694 	5.8334	87.80%	98.073%
TS-525	BIG	Kentucky Beefsteak		S. lycopersicum				64,803,854 	6.1395	88.16%	98.475%
TS-526	CER	Large Red Cherry		S. lycopersicum var cerasiforme				56,123,994 	6.3725	86.89%	97.057%
TS-527	BIG	Legend		S. lycopersicum				56,630,724 	6.5484	87.86%	98.140%
TS-528	CER	Lemon Drop		S. lycopersicum var cerasiforme				66,985,214 	7.533	87.42%	97.649%
TS-529	BIG	Livingston's Globe		S. lycopersicum				51,763,084 	5.9528	87.88%	98.162%
TS-530	BIG	Livingston's Golden Queen		S. lycopersicum				59,123,042 	6.8099	88.30%	98.632%
TS-531	BIG	Livingston's Stone		S. lycopersicum				64,348,688 	7.3274	88.47%	98.821%
TS-532	CER	Maglia Rosa Cherry		S. lycopersicum var cerasiforme				93,991,818 	10.3786	88.79%	99.179%
TS-533	BIG	Marmande VFA		S. lycopersicum				52,933,584 	6.0347	87.60%	97.850%
TS-534	BIG	Martian Giant		S. lycopersicum				55,118,806 	6.3797	88.01%	98.308%
TS-535	BIG	Matina		S. lycopersicum				69,714,420 	4.5867	86.13%	96.208%
TS-536	CER	Matt's Wild Cherry		S. lycopersicum var cerasiforme				57,429,286 	6.1687	87.60%	97.850%
TS-537	CER	Mexico Midget		S. lycopersicum var cerasiforme				68,282,214 	6.7663	87.83%	98.107%
TS-538	BIG	Micado Violettor		S. lycopersicum				49,270,028 	5.5201	86.85%	97.012%
TS-539	BIG	Mr. Stripey		S. lycopersicum				53,117,262 	5.9007	87.50%	97.738%
TS-540	BIG	Nyagous		S. lycopersicum				68,339,828 	7.7346	88.01%	98.308%
TS-541	BIG	Oaxacan Pink		S. lycopersicum				63,804,008 	7.1416	88.23%	98.553%
TS-542	BIG	Old Brooks		S. lycopersicum				48,359,536 	5.4907	86.65%	96.789%
TS-543	BIG	Orange Queen		S. lycopersicum				50,365,676 	5.6935	86.77%	96.923%
TS-544	BIG	Oregon Spring Bush		S. lycopersicum				46,750,616 	5.3114	86.69%	96.833%
TS-545	CER	Peacevine Cherry		S. lycopersicum var cerasiforme				50,335,112 	5.6209	85.64%	95.660%
TS-546	BIG	Peron Sprayless		S. lycopersicum				52,150,826 	5.9178	87.58%	97.827%
TS-547	BIG	Ponderosa Pink		S. lycopersicum				48,139,638 	5.4494	86.68%	96.822%
TS-548	BIG	Ponderosa Red		S. lycopersicum				48,262,276 	5.5228	86.60%	96.733%
TS-549	BIG	Porter		S. lycopersicum				52,030,550 	6.0107	86.80%	96.956%
TS-550	BIG	Red Calabash		S. lycopersicum				43,260,782 	5.0419	86.51%	96.632%
TS-551	BIG	Red House Free Standing		S. lycopersicum				55,413,226 	6.3731	88.10%	98.408%
TS-552	CER	Red Pear		S. lycopersicum var cerasiforme				69,612,494 	7.7233	88.12%	98.431%
TS-553	BIG	Rose Tomato		S. lycopersicum				49,717,472 	5.763	87.75%	98.017%
TS-554	BIG	Santiam		S. lycopersicum				58,030,670 	6.6828	87.99%	98.285%
TS-555	BIG	Skorospelka Red 		S. lycopersicum				60,174,276 	6.89	88.12%	98.431%
TS-556	BIG	St. Pierre		S. lycopersicum				54,676,616 	9.4727	88.57%	98.933%
TS-557	BIG	Stupice		S. lycopersicum				55,422,400 	5.5491	87.69%	97.950%
TS-558	BIG	Sunray		S. lycopersicum				50,632,740 	5.6933	87.08%	97.269%
TS-559	BIG	Super Sioux		S. lycopersicum				51,502,824 	5.307	87.62%	97.872%
TS-560	CER	Thai Pink Cherry		S. lycopersicum var cerasiforme				64,329,154 	7.4311	87.89%	98.174%
TS-561	BIG	Thessaloniki		S. lycopersicum				48,552,716 	5.3687	87.55%	97.794%
TS-562	BIG	Three Sisters		S. lycopersicum				54,571,122 	6.0957	87.23%	97.436%
TS-563	BIG	Tigerella Orange		S. lycopersicum				61,010,054 	6.8818	87.53%	97.772%
TS-564	CER	Tommy Toe		S. lycopersicum var cerasiforme				52,519,908 	5.9722	87.28%	97.492%
TS-565	BIG	Valencia		S. lycopersicum				49,417,674 	5.4818	87.05%	97.235%
TS-566	BIG	Watermelon Beefsteak		S. lycopersicum				55,503,336 	6.0647	87.05%	97.235%
TS-567	BIG	Wisconsin 55		S. lycopersicum				59,348,748 	6.7038	87.78%	98.051%
TS-568	BIG	Yellow Perfection		S. lycopersicum				57,449,418 	6.6052	88.03%	98.330%
TS-569	BIG	Zapotec		S. lycopersicum				59,940,812 	6.8552	88.00%	98.297%
TS-570	BIG	Abraham Lincoln Original 		S. lycopersicum				62,602,416 	7.0316	87.98%	98.274%
TS-571	BIG	Amana Orange		S. lycopersicum				120,007,666 	12.7804	89.11%	99.536%
TS-572	BIG	Andrew Rahart's Jumbo Red		S. lycopersicum				54,903,780 	6.1128	86.97%	97.146%
TS-573	BIG	Anna Russian		S. lycopersicum				57,056,134 	6.3363	87.24%	97.448%
TS-574	BIG	Arkansas Traveler		S. lycopersicum				54,151,242 	6.0796	85.35%	95.336%
TS-575	BIG	Azoychka Russian		S. lycopersicum				54,121,108 	6.2	86.66%	96.800%
TS-576	BIG	Beefsteak		S. lycopersicum				62,909,892 	7.1346	87.69%	97.950%
TS-577	BIG	Black Brandywine		S. lycopersicum				71,227,544 	8.0834	88.37%	98.710%
TS-578	BIG	Black Krim		S. lycopersicum				51,539,152 	5.8894	86.64%	96.777%
TS-579	BIG	Black Prince		S. lycopersicum				52,785,472 	5.962	87.61%	97.861%
TS-580	BIG	Black Sea Man		S. lycopersicum				145,106,300 	15.8707	89.11%	99.536%
TS-581	BIG	Box Car Willie		S. lycopersicum				63,068,978 	7.2044	87.76%	98.028%
TS-582	CER	Brown Berry		S. lycopersicum var cerasiforme				66,134,582 	7.4825	86.72%	96.867%
