plant	genotype	day	volume.fluo.iap	side.area (px)	top.area (px)	side.height (px)
1121KN198	Djamilia	12.45231	13347.99873	2434	417	186.5
1121KN208	Eunova	12.45738	15652.00626	2514	464	158.5
1121KN262	Victoriana	12.464588	44935.37417	3182.5	1654	224
1121KN263	Victoriana	12.465034	23993.33774	3051.5	795	226
1121KN264	Victoriana	12.465539	34670.01684	3284.5	1112	210.5
1121KN265	Victoriana	12.466045	56874.73077	3037	2126	216.5
1121KN266	Victoriana	12.466552	25573.44311	2610.5	856	161.5
1121KN267	Victoriana	12.46706	30744.0572	3095	945	196.5
1121KN268	Victoriana	12.467566	31139.69355	2470.5	1210	206
1121KN269	Victoriana	12.468072	39836.17896	3445.5	1074	205.5
1121KN270	Victoriana	12.46858	81673.28639	3555.5	2770	219
1121KN280	Wiebke	12.473707	37621.99272	3474.5	766	219
1121KN281	Wiebke	12.474213	40469.98577	3641.5	767	218
1121KN282	Wiebke	12.474721	36650.34412	3375	828	208.5
1121KN283	Wiebke	12.475228	36601.40555	3111.5	1287	202
1121KN284	Wiebke	12.475738	37709.17087	2840.5	1362	217
1121KN285	Wiebke	12.476245	58716	3668	1509	229.5
1121KN286	Wiebke	12.476752	65389.45797	3938.5	2113	221.5
1121KN287	Wiebke	12.477261	32532.50607	3279	954	231.5
1121KN288	Wiebke	12.477766	38461.09625	3115	1141	174
1121KN295	MorexDH	12.481375	45330.71443	2981.5	1744	186
1121KN296	MorexDH	12.481881	63961.07616	3995	1576	212.5
1121KN297	MorexDH	12.482388	50779.39955	3386.5	1390	208
1121KN298	MorexDH	12.482893	48380.48367	3681.5	1227	214.5
1121KN299	MorexDH	12.483402	56142.66738	3446.5	2001	202.5
1121KN300	MorexDH	12.483907	40813.80825	2671.5	2175	172.5
1121KN307	BarkeDH	12.487454	80350.60268	3468.5	3524	203.5
1121KN308	BarkeDH	12.487961	27482.69486	2893	1026	165.5
1121KN309	BarkeDH	12.488468	18742.16935	2645.5	438	174.5
1121KN310	BarkeDH	12.488975	37410	3362	942	235.5
1121KN311	BarkeDH	12.489481	32356.4484	2899	943	208.5
1121KN312	BarkeDH	12.489987	42601.37142	3044.5	1810	211.5
1121KN053	Perun	12.492835	67435.60699	2592	6550	62
1121KN054	Perun	12.493302	85605.28936	3005.5	5637	108.5
1121KN064	Sissy	12.498327	69497.39471	2629.5	7194	55.5
1121KN065	Sissy	12.498841	80467.76067	2658.5	7252	61
1121KN066	Sissy	12.499382	74676.7735	3023	5769	128
1121KN067	Sissy	12.499889	87901.05588	3719.5	5800	116
1121KN068	Sissy	12.500397	65071.2235	2705.5	5632	118.5
1121KN069	Sissy	12.500915	78781.51071	2485	6849	78
1121KN070	Sissy	12.501422	47315.34111	1788.5	6411	36.5
1121KN071	Sissy	12.501931	69973.14839	2645	6790	41.5
1121KN072	Sissy	12.502451	59497.88829	2440.5	5188	84
1121KN082	Trumpf	12.507521	61729.08365	3785	2138	233
1121KN083	Trumpf	12.508027	63391.07279	3816.5	2154	247
1121KN084	Trumpf	12.508535	89304.04858	3689	5060	196.5
1121KN085	Trumpf	12.509042	53581.60524	2087.5	5791	54.5
1121KN086	Trumpf	12.50955	41270.16092	3642	1056	274.5
1121KN087	Trumpf	12.510059	31153.0767	3355	737	233
1121KN088	Trumpf	12.510582	99366.10691	3755.5	5578	149.5
1121KN089	Trumpf	12.511088	58551.45875	3524.5	2217	233
1121KN090	Trumpf	12.511609	63093.51388	2829.5	3941	194.5
1121KN100	Franken	12.516903	41211.79982	2938	1301	197.5
1121KN101	Franken	12.517407	33508.5543	3342	990	198.5
1121KN102	Franken	12.517914	19254.56891	2487	583	173
1121KN103	Franken	12.518421	65708.65837	3148	2914	195
1121KN104	Franken	12.518928	34219.47977	2959.5	1080	189.5
1121KN209	Eunova	13.336865	73935.1183	3670.5	3752	153
1121KN210	Eunova	13.337345	78452.62342	4320.5	2348	220.5
1121KN211	Eunova	13.337797	101597.695	3931.5	3697	234
1121KN212	Eunova	13.338307	23407.80148	2132	1340	160.5
1121KN213	Eunova	13.338822	55238.02291	2823.5	3045	222.5
1121KN214	Eunova	13.339339	61202.45328	3126	2242	244
1121KN215	Eunova	13.339852	70108.35218	3521	2714	250.5
