plant,group,day,fw_biomass,dw_biomass,height_above_bound,sv_area,tv_area,extent_x,extent_y,height_width_ratio,tiller_count
Dr2AA000317,R70,11.44961806,0,0,3.713050905,4745.89501,4210.213082,3.785249117,3.713050905,0.980926431,3.092474869
Dr3AB000427,R98,11.45045139,0,0,4.455661086,5668.135619,3891.272672,4.641313631,4.455661086,0.96,3.145902927
Dr1AD000177,R20,11.45217593,0,0,4.734139904,6050.700737,5318.063576,4.342206753,4.734139904,1.090261283,2.863877657
Dr6AA000701,R133,11.45472222,0,0,3.960587632,3427.656391,2251.915338,2.13500427,3.960587632,1.855072464,1.16780793
Dr8AB000931,R187,11.45556713,0,0,2.186574422,2685.126087,2740.491383,2.403169058,2.186574422,0.909871245,3.231024936
Dr1AC000241,R20,11.45641204,0,0,2.13500427,1576.277202,882.940325,1.175799453,2.13500427,1.815789474,1.238527118
Dp1AD000066,A10,11.45725694,0,0,4.094670026,4205.130366,2809.743384,3.558340451,4.094670026,1.150724638,2.716268243
Dr1AE000181,R20,11.45810185,0,0,5.177643206,5949.591,2997.803865,3.455200148,5.177643206,1.498507463,1.969261895
Dp2AA000111,B100,11.45894676,0,0,1.247997665,1117.289823,2080.464446,1.289253786,1.247997665,0.968,3.090819501
Dr2AC000351,R70,11.45979167,0,0,3.321117754,4497.386518,4248.787263,3.331431784,3.321117754,0.996904025,3.055443293
Dr3AD000472,R98,11.46063657,0,0,6.188418175,5738.476773,3806.227947,3.434572087,6.188418175,1.801801802,1.303511052
Dr2AE000382,R70,11.46148148,0,0,3.713050905,4628.901786,3778.273011,3.063266997,3.713050905,1.212121212,2.58534995
Dr2AA000318,R70,11.46232639,0,0,2.867300421,4026.236926,3836.270427,3.754307026,2.867300421,0.763736264,3.562032361
Dp2AB000126,B100,11.4631713,0,0,1.536790513,2061.495025,2786.780401,1.969979786,1.536790513,0.780104712,3.509976955
Dp2AC000156,B100,11.46400463,0,0,3.578968511,4348.081745,4014.61929,3.001382815,3.578968511,1.192439863,2.626120429
Dr5AD000663,R128,11.46484954,0,0,2.619763694,3291.966035,3858.87036,2.444425179,2.619763694,1.071729958,2.881674285
Dr5AE000683,R128,11.46572917,0,0,2.145318301,2821.36102,3223.89395,2.413483088,2.145318301,0.888888889,3.278086672
Dr8AA000916,R187,11.46741898,0,0,2.867300421,4016.88836,3101.364197,2.805416239,2.867300421,1.022058824,2.996404732
Dr5AB000623,R128,11.46826389,0,0,4.135926147,4534.508495,4894.292155,3.022010875,4.135926147,1.368600683,2.241987243
Dp1AC000042,A10,11.4691088,0,0,3.455200148,4033.22566,3565.343529,3.857447329,3.455200148,0.895721925,3.273131357
Dr4AD000579,R102,11.4699537,0,0,1.815269331,1534.163272,2239.208548,1.06234512,1.815269331,1.708737864,1.472549561
Dr8AE000992,R187,11.47079861,0,0,2.454739209,3115.704716,3056.164332,2.702275936,2.454739209,0.908396947,3.237807227
Dp2AA01082,B100,11.47164352,0,0,3.052952966,4266.576768,3495.819239,3.383001936,3.052952966,0.902439024,3.260351883
Dr1AA000211,R20,11.47248843,0,0,5.249841418,7041.467245,4269.57194,4.58974348,5.249841418,1.143820225,2.75479919
Dr2AB000336,R70,11.47333333,0,0,4.115298086,4809.701244,4379.122615,3.114837148,4.115298086,1.321192053,2.348051665
Dr8AC000942,R187,11.47416667,0,0,2.073120089,2663.524545,2740.763671,2.83635833,2.073120089,0.730909091,3.622651827
Dr2AD000378,R70,11.47501157,0,0,3.713050905,3827.557201,3851.427812,2.599135633,3.713050905,1.428571429,2.104856019
Dr4AE000583,R102,11.47586806,0,0,1.382080059,1390.304266,2977.563765,1.557418574,1.382080059,0.887417219,3.269494737
Dp1AA01041,A10,11.47671296,0,0,4.043099874,3977.134262,3091.471054,3.434572087,4.043099874,1.177177177,2.656473009
Dp2AA01107,B100,11.47755787,0,0,2.186574422,2632.120624,3483.747789,2.238144573,2.186574422,0.976958525,3.083711907
Dr7AB000828,R161,11.47841435,0,0,2.13500427,3120.061329,3312.024609,3.640852693,2.13500427,0.586402266,3.942792221
Dr2AC000341,R70,11.47924769,0,0,2.898242512,2767.357166,3010.964468,2.042177998,2.898242512,1.419191919,2.116638421
Dr8AD000973,R187,11.48009259,0,0,1.134543332,1434.324214,2303.468597,1.608988725,1.134543332,0.705128205,3.668946914
Dr1AE000198,R20,11.4809375,0.07205472,0,6.982598507,9120.751774,5898.037741,5.909939357,6.982598507,1.181500873,2.689469481
